market,feature_set,model,seeds,ratio_mean,ratio_std,price_rmse_mean,price_rmse_std
bist100,close,naive_persistence,5,1.0,0.0,544.3323490510911,0.0
bist100,close,lstm_gru,5,1.0270480175922514,0.06001204517783795,559.0554600042566,32.66649752301275
bist100,close,dnfs,5,1.0613888326603418,0.016560929317418205,577.7482765385993,9.014649557819334
bist100,close,mlp,5,1.2523596970411306,0.09923543205584619,681.6998957473114,54.01705584005868
bist100,close,cnn1d,5,1.9792753258789813,0.23784689546261947,1077.3835875545697,129.46775932167694
bist100,close,linear_regression,5,4.175342323944185,0.0,2272.77389528498,0.0
bist100,indicators,naive_persistence,5,1.0,0.0,544.3323490510911,0.0
bist100,indicators,dnfs,5,1.0421051062709998,0.027043660139670855,567.2515204546303,14.720739050766346
bist100,indicators,lstm_gru,5,1.0451359563304983,0.05528121505830755,568.9013101871387,30.091353651087122
bist100,indicators,mlp,5,1.4808545100607102,0.2061383331503288,806.077014064249,112.2077631131949
bist100,indicators,cnn1d,5,1.9511443855626307,0.22188096853980105,1062.0710067311545,120.7769888150011
sp500,close,linear_regression,5,0.9793721864647489,0.0,163.81138686816536,0.0
sp500,close,lstm_gru,5,0.9883831511536553,0.004595112440792897,165.31857549687055,0.7685859902337916
sp500,close,dnfs,5,0.9949412930038963,0.013428476819429325,166.4155009830272,2.246068901811623
sp500,close,naive_persistence,5,1.0,0.0,167.26162855357083,0.0
sp500,close,mlp,5,1.0063918664559295,0.009378164033854035,168.33074254648653,1.5686069891449608
sp500,close,cnn1d,5,1.0126032612438869,0.007698758038619203,169.36967055430944,1.2877068073793447
sp500,indicators,cnn1d,5,0.919936219116044,0.018718960243162025,153.87003017476408,3.1309637751008275
sp500,indicators,lstm_gru,5,0.9793884979484933,0.018937367111033894,163.81411515350055,3.1674948635083546
sp500,indicators,dnfs,5,0.9840819029122636,0.031042019210959178,164.5991417112022,5.192138686816272
sp500,indicators,mlp,5,0.9859538395019204,0.02695078095787923,164.9122448737372,4.50783151380545
sp500,indicators,naive_persistence,5,1.0,0.0,167.26162855357083,0.0
sp500,indicators,linear_regression,5,1.017126460765673,0.0,170.1262282725961,0.0
wig20,close,naive_persistence,5,1.0,0.0,96.58449377616964,0.0
wig20,close,lstm_gru,5,1.0235901485323757,0.006360194817288699,98.86293633027381,0.6142961967456425
wig20,close,mlp,5,1.024392216635127,0.031300517636495925,98.94040367195203,3.023144650853038
wig20,close,cnn1d,5,1.0278199795810585,0.017405162913415147,99.27147242086953,1.6810688490839645
wig20,close,linear_regression,5,1.0669234566488548,0.0,103.04826195835071,0.0
wig20,close,dnfs,5,1.0791965634768745,0.03382930727248157,104.23365376839585,3.2673865177111234
wig20,indicators,naive_persistence,5,1.0,0.0,96.58449377616964,0.0
wig20,indicators,lstm_gru,5,1.0247571957442634,0.0032603692835917156,98.97565499444684,0.3149011167790795
wig20,indicators,cnn1d,5,1.0335178348473728,0.018457242333450412,99.8217968873764,1.782683407280399
wig20,indicators,mlp,5,1.0559402447500712,0.031521729121334094,101.98745399707029,3.0445102501335994
wig20,indicators,linear_regression,5,1.059187497917875,0.0,102.30108830044568,0.0
wig20,indicators,dnfs,5,1.076230141848212,0.016417994869651786,103.9471434370648,1.585723723305063
