market,model,seeds,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,rmse_delta_pct_mean,rmse_delta_pct_std
bist100,dnfs,5,-1.8027936193732415,2.7605059952801887,1.0582295453703567,1.7702223028303823
bist100,naive_persistence,5,0.0,0.0,0.0,0.0
bist100,cnn1d,5,0.7487675219475953,24.018471547423854,-11.119859140666806,30.17059413937419
bist100,lstm_gru,5,1.8391697552030304,3.850447961431217,1.5759143633796495,1.007731968100854
bist100,mlp,5,19.473167663299797,24.180878705737854,18.769641637676102,29.119002627349907
sp500,cnn1d,5,-9.149380293568779,1.8375676180256864,-8.88051363159235,2.0045611489809145
sp500,mlp,5,-2.0294835519110186,2.5814978645734175,-2.53322510282277,2.7821978832014955
sp500,dnfs,5,-1.0815777059298202,3.2106105699548357,-1.9256267712628587,3.303987018352648
sp500,lstm_gru,5,-0.9060313865709532,2.10789324197408,-0.802597428698277,1.9494869686238954
sp500,naive_persistence,5,0.0,0.0,0.0,0.0
sp500,linear_regression,5,3.8549465486870615,0.0,2.675491360031174,0.0
wig20,linear_regression,5,-0.7250715768568947,0.0,-1.2774907617791054,0.0
wig20,dnfs,5,-0.22619917171731302,2.1828829722024423,1.8274755123981952,3.093036932547644
wig20,naive_persistence,5,0.0,0.0,0.0,0.0
wig20,lstm_gru,5,0.11600816402336751,0.46189545328124987,0.4059043375741481,0.77579579269132
wig20,cnn1d,5,0.5729326493919558,2.236340990194483,0.9105187573202418,1.3560490175430144
wig20,mlp,5,3.104498564670588,2.390656342412152,2.448296816193784,2.2414045246505214
