market,feature_set,model,planned_runs,completed_runs,failed_runs,running_runs,planned_pending_runs,skipped_runs,divergence_count,divergence_rate,completion_state,runs,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,seeds_beating_persistence,eligible_for_ranking,price_rmse_rank
bist100,close,naive_persistence,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,544.3323490510911,0.0,411.49421664038726,0.0,0.0665400295390244,0.0,0.0510484144439592,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
bist100,close,lstm_gru,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,559.0554600042566,32.66649752301275,425.06945952750846,21.229870156912753,0.06832004956830302,0.002605950323493543,0.05239161679695122,0.002084680806853837,203.28828722959935,5.013040893683201,0.6741649341975062,0.006800947796535614,2.0,True,2.0
bist100,close,dnfs,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,577.7482765385993,9.014649557819334,428.19489590089233,6.647058329639443,0.06778667402865188,0.0007641479610107128,0.05153420624746872,0.0006913247520527327,240.37090019020235,7.6341135333342445,1.1283147645890492,0.015112191700966175,0.0,True,3.0
bist100,close,mlp,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,681.6998957473114,54.01705584005868,486.2618095033696,47.95650399094106,0.0783244621112249,0.005266035346271983,0.057605862360284574,0.005436630031022213,154.83289344720106,10.079517745183638,0.31533546219889097,0.0032359948385772904,0.0,True,4.0
bist100,close,cnn1d,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,1077.3835875545697,129.46775932167694,676.0374374994024,55.228254913153954,0.1347819864855506,0.021366037148354628,0.08261997416588089,0.008236745678693062,144.0738570378001,3.226031622075134,0.4278830745983214,0.006698787867329361,0.0,True,5.0
bist100,close,linear_regression,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,2272.77389528498,0.0,1136.75616443656,0.0,0.179163532723678,0.0,0.12285488639646189,0.0,0.2501759364008649,0.009310987860702622,0.19817507960033248,0.005449736735379216,0.0,True,6.0
bist100,indicators,naive_persistence,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,544.3323490510911,0.0,411.49421664038726,0.0,0.0665400295390244,0.0,0.0510484144439592,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
bist100,indicators,dnfs,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,567.2515204546303,14.720739050766346,429.15011254107714,9.91246298603843,0.06850069231868314,0.001202098571160535,0.052726852657038484,0.0011390971009015574,240.41449313620106,14.610993093063563,1.1771257124051773,0.008245695211877754,0.0,True,2.0
bist100,indicators,lstm_gru,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,568.9013101871387,30.091353651087122,428.1815481290879,21.519446848218763,0.06941541577297614,0.0033026599560535687,0.052774934899622816,0.0026074290175661773,216.51413735339992,17.04901453724728,0.7078195719954238,0.003155151728512006,1.0,True,3.0
bist100,indicators,mlp,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,806.077014064249,112.2077631131949,546.8403614700019,73.40895149406934,0.09194709313070736,0.017041297204040417,0.06524878428904904,0.010104199447137162,184.88565492839825,6.9141271220462,0.34503177940532626,0.0035692024412255705,0.0,True,4.0
bist100,indicators,cnn1d,5,5,0,0,0,0,0,0.0,complete,5.0,5.0,1062.0710067311545,120.7769888150011,712.8010159799371,87.57823732889356,0.11509162974339744,0.01848940043148777,0.0824591752733096,0.01074836819933557,148.67005607180107,2.262885051392075,0.44025351040090754,0.0050449165756676455,0.0,True,5.0
bist100,indicators,linear_regression,5,0,5,0,0,0,5,1.0,failed,,,,,,,,,,,,,,,,False,
sp500,close,linear_regression,5,5,0,0,0,5,0,0.0,complete,5.0,5.0,163.81138686816536,0.0,121.80077196485874,0.0,0.032599170592281,0.0,0.0239032286200249,0.0,0.30177001759875566,0.013482993503269265,0.21097155099814696,0.0030202008854703613,5.0,True,1.0
sp500,close,lstm_gru,5,5,0,0,0,5,0,0.0,complete,5.0,5.0,165.31857549687055,0.7685859902337916,120.71499702297777,0.8077722028723283,0.03285780540856272,0.00015984367255816404,0.023684199015618322,0.0001511328555874089,231.07528575179967,13.286896896803736,0.6514491546030513,0.0065261016522832815,5.0,True,2.0
