market,feature_set,model,seeds,ratio_mean,ratio_std,price_rmse_mean,price_rmse_std
bist100,close,naive_persistence,5,1.0,0.0,753.477052018749,0.0
bist100,close,dnfs,5,1.024808338184014,0.03218271523067032,772.1695655391242,24.248937397964458
bist100,close,lstm_gru,5,1.077460870163361,0.015181354231442892,811.8420401162454,11.438802031959936
bist100,close,mlp,5,1.6127913592061454,0.07382701467021609,1215.2012788559575,55.62696137305936
bist100,close,linear_regression,5,1.9456324547983956,0.0,1465.989406353497,0.0
bist100,close,cnn1d,5,3.367141476576875,0.24450287851886365,2537.0638335012018,184.2273081164917
bist100,indicators,naive_persistence,5,1.0,0.0,753.477052018749,0.0
bist100,indicators,dnfs,5,1.0539671556979164,0.01830081651063026,794.1400653998519,13.789245273965694
bist100,indicators,lstm_gru,5,1.1257770118530657,0.01799586786169939,848.2471441215241,13.559473464952156
bist100,indicators,mlp,5,2.9717506597712497,0.32616089321872543,2239.1459264592136,245.75474830624725
bist100,indicators,cnn1d,5,3.3117226240911988,0.2025124297482903,2495.306999904032,152.5884685638958
bist100,indicators,linear_regression,5,3.8990597532248534,0.0,2937.8520485048134,0.0
sp500,close,linear_regression,5,0.9774602066350365,0.0,242.94891355530393,0.0
sp500,close,lstm_gru,5,0.982143830117735,0.005167891001396962,244.1130338221954,1.2844855428783881
sp500,close,mlp,5,0.9862058320105056,0.0110081652378123,245.12264929299346,2.7360927499755836
sp500,close,naive_persistence,5,1.0,0.0,248.55120638789964,0.0
sp500,close,cnn1d,5,1.0193150522526713,0.03191199490251891,253.35198592674638,7.931764831265591
sp500,close,dnfs,5,1.0474488607530652,0.010679862390944178,260.34467796980545,2.6544926813259373
sp500,indicators,cnn1d,5,0.9128947038464993,0.028858359095255883,226.90107994617173,7.172779967501067
sp500,indicators,dnfs,5,0.9599612522269527,0.013847460055755281,238.5995273266479,3.4418029022662098
sp500,indicators,lstm_gru,5,0.9994662607561381,0.02181731915366903,248.41854485494113,5.422720995794257
sp500,indicators,naive_persistence,5,1.0,0.0,248.55120638789964,0.0
sp500,indicators,mlp,5,1.039128359218911,0.05468709519851019,258.2766072757389,13.592543485439602
sp500,indicators,linear_regression,5,1.0462592733967009,0.0,260.0490045972773,0.0
wig20,close,naive_persistence,5,1.0,0.0,133.75027549774717,0.0
wig20,close,dnfs,5,1.064753016161932,0.01297918417087223,142.41100924871563,1.7359694585901535
wig20,close,mlp,5,1.0676926671083833,0.010681018897603816,142.80418837267072,1.4285892201511627
wig20,close,lstm_gru,5,1.0680897788002495,0.012931946482419718,142.8573021708612,1.7296514047457667
wig20,close,cnn1d,5,1.0697590582471537,0.011886924761430063,143.08056875676735,1.5898794616622531
wig20,close,linear_regression,5,1.1232279895563677,0.0,150.23205304994485,0.0
wig20,indicators,naive_persistence,5,1.0,0.0,133.75027549774717,0.0
wig20,indicators,mlp,5,1.04528376545561,0.013900612809507672,139.80699160301037,1.8592107928591672
wig20,indicators,cnn1d,5,1.0528495279919277,0.01807230679248705,140.81891442659338,2.417176012374961
wig20,indicators,lstm_gru,5,1.0537786169572434,0.0334062789651175,140.9431803316663,4.468099014939071
wig20,indicators,linear_regression,5,1.1006268316141172,0.0,147.20914194860077,0.0
wig20,indicators,dnfs,5,1.1042249163920306,0.028456845849941233,147.6903867789109,3.806110972226561
