model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
cnn1d,20,49,0.2787355429492484,0.3897244054548671,1469.696008228841,-19.30408357206768,2037.5274470836528,2765.1675469914176,22.29627766212361,0.1145521414512436,bist100__cnn1d__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed123/artifacts/20260716_224645_429769,753.477052018749,3.6698762617691654
dnfs,20,49,0.0836629276997602,0.1002260900056883,165.78174187433768,-0.3428569838637296,671.85419214328,788.3868645774942,8.103346879074088,0.9280221534499444,bist100__dnfs__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed123/artifacts/20260716_235530_294842,753.477052018749,1.0463316201405382
linear_regression,20,49,0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,bist100__linear_regression__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed123/artifacts/20260716_223942_742753,753.477052018749,1.9456324547983959
lstm_gru,20,49,0.0849980094393194,0.1058661482555441,180.057888077873,-0.4982435291881864,672.6940354216433,817.1540194945318,8.075777947091858,0.9226735749931984,bist100__lstm_gru__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed123/artifacts/20260716_232639_354896,753.477052018749,1.084510825253638
mlp,20,49,0.1246081477283703,0.1509497025187421,582.4010563648246,-2.046019707937826,1007.0871011903936,1234.6923444971455,11.573212786492013,0.8234622446500324,bist100__mlp__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed123/artifacts/20260716_230543_134335,753.477052018749,1.6386595201394698
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed123/artifacts/20260716_223838_170344,753.477052018749,1.0
cnn1d,20,49,0.2541139173021128,0.3211523598118745,1245.4394014037582,-12.787655420376195,2020.4903510235035,2600.1224218641023,21.65530220810536,0.2170974956079769,bist100__cnn1d__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed2026/artifacts/20260716_224847_409020,753.477052018749,3.4508316011718465
dnfs,20,49,0.0805943115612437,0.0985891439241151,150.9979441130061,-0.2993506769586456,649.8931012184836,797.7538180832938,7.819191247415423,0.926301631734132,bist100__dnfs__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed2026/artifacts/20260716_235851_150211,753.477052018749,1.058763257548344
linear_regression,20,49,0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,bist100__linear_regression__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed2026/artifacts/20260716_223947_786225,753.477052018749,1.9456324547983959
lstm_gru,20,49,0.085709994158225,0.1061168241199293,180.1891801909854,-0.5053471813004407,676.3793340003671,806.2872975434913,8.156276915730801,0.924716513239584,bist100__lstm_gru__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed2026/artifacts/20260716_232935_516130,753.477052018749,1.0700887245115838
mlp,20,49,0.1227300333860618,0.1497783883407355,551.7948097799521,-1.9989311291013188,1029.5806643600604,1290.613258283891,11.427367803126524,0.8071088359261485,bist100__mlp__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed2026/artifacts/20260716_230739_432833,753.477052018749,1.7128766627013032
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__close__seed2026,bist100,close,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed2026/artifacts/20260716_223843_973507,753.477052018749,1.0
cnn1d,20,49,0.1830457474814817,0.2235416474849113,792.4199231434254,-5.680132559082402,1644.9881930088306,2296.0407795390565,17.60094409432631,0.3895089745484298,bist100__cnn1d__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__indicators__seed1/artifacts/20260716_225043_267335,753.477052018749,3.0472603955056132
dnfs,20,49,0.0786492102698427,0.0967619435445039,148.92603553858103,-0.2516339994933976,638.3235670520605,799.3995386966939,7.641722552315684,0.9259972470352964,bist100__dnfs__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__indicators__seed1/artifacts/20260717_000228_243174,753.477052018749,1.0609474257442975
linear_regression,20,49,0.285862650964096,0.3512031433750188,1439.271075741427,-15.488645259481189,2280.3062287971657,2937.8520485048134,26.24289990144021,0.000506599167906,bist100__linear_regression__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__indicators__seed1/artifacts/20260716_223952_654928,753.477052018749,3.8990597532248534
