market,feature_set,model,planned_runs,completed_runs,failed_runs,running_runs,planned_pending_runs,skipped_runs,divergence_count,divergence_rate,completion_state,runs,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,seeds_beating_persistence,eligible_for_ranking,price_rmse_rank
bist100,close,naive_persistence,5,5,0,0,0,0,0,0.0,complete,5,5,753.477052018749,0.0,590.4101263552296,0.0,0.0933163829095019,0.0,0.0746143729549509,0.0,0.0,0.0,0.0,0.0,0,True,1.0
bist100,close,dnfs,5,5,0,0,0,0,0,0.0,complete,5,5,772.1695655391242,24.248937397964458,632.9916652783862,29.583872329520354,0.09700173976379559,0.002579975618849758,0.07889470413106756,0.003324896338241334,197.61569230460154,7.838619346632309,0.050999988798866934,0.0005442451500139573,1,True,2.0
bist100,close,lstm_gru,5,5,0,0,0,0,0,0.0,complete,5,5,811.8420401162454,11.438802031959936,672.4669500106083,10.652950566673148,0.10634944622417002,0.000535614885778066,0.08531155778821696,0.001006430084163862,173.9900029062028,3.6459461193012985,0.03120202499594596,0.00033423052673377035,0,True,3.0
bist100,close,mlp,5,5,0,0,0,0,0,0.0,complete,5,5,1215.2012788559575,55.62696137305936,975.1000573988864,52.50138303448546,0.14712946053653903,0.006166995840484276,0.11959573969701784,0.00643362600533287,117.35819134640296,3.7416580591483877,0.015456189001997658,0.0006360385705357818,0,True,4.0
bist100,close,linear_regression,5,5,0,0,0,0,0,0.0,complete,5,5,1465.989406353497,0.0,1235.7820241291322,0.0,0.180573070084918,0.0,0.1553310136225119,0.0,0.28656622940325177,0.005790928162363604,0.01225304840045274,0.00011019111715207022,0,True,5.0
bist100,close,cnn1d,5,5,0,0,0,0,0,0.0,complete,5,5,2537.0638335012018,184.2273081164917,1965.614625053278,89.8316612183847,0.331262879095216,0.037632932884873474,0.25620873839266534,0.016234586464453613,119.18927104240211,4.83230407762925,0.02185781340012902,0.0009622972175298302,0,True,6.0
bist100,indicators,naive_persistence,5,5,0,0,0,0,0,0.0,complete,5,5,753.477052018749,0.0,590.4101263552296,0.0,0.0933163829095019,0.0,0.0746143729549509,0.0,0.0,0.0,0.0,0.0,0,True,1.0
bist100,indicators,dnfs,5,5,0,0,0,0,0,0.0,complete,5,5,794.1400653998519,13.789245273965694,645.2831300350706,15.233773898760365,0.0966427081611715,0.0006382116493722866,0.07958294047418828,0.001077052374367866,191.63428599240214,6.924399809359336,0.0540452416054904,0.0023364012569493746,0,True,2.0
bist100,indicators,lstm_gru,5,5,0,0,0,0,0,0.0,complete,5,5,848.2471441215241,13.559473464952156,706.2539538334785,13.069735493020527,0.10371411497066171,0.001298098044715043,0.08598032307793854,0.0012714930048843736,146.40370184319036,3.5518178477862357,0.03331628780288152,0.000529976218909298,0,True,3.0
bist100,indicators,mlp,5,5,0,0,0,0,0,0.0,complete,5,5,2239.1459264592136,245.75474830624725,1717.592412783597,173.12310408764168,0.23001544169934202,0.014931632122840481,0.19140884957553997,0.016352477843877004,97.88538247360047,3.902218386898964,0.015473334402122379,0.0003587943815188182,0,True,4.0
bist100,indicators,cnn1d,5,5,0,0,0,0,0,0.0,complete,5,5,2495.306999904032,152.5884685638958,1728.4151202455232,62.38833887861594,0.24413084682992497,0.014247745553420607,0.19415550016439914,0.008415129922799486,105.87499593460488,2.1642733197055932,0.02463632160070116,0.000393373968469361,0,True,5.0
bist100,indicators,linear_regression,5,5,0,0,0,0,0,0.0,complete,5,5,2937.8520485048134,0.0,2280.3062287971657,0.0,0.3512031433750188,0.0,0.285862650964096,0.0,2.4562541781979235,0.024878970779493487,0.016390798797146937,0.0005207742202077427,0,True,6.0
sp500,close,linear_regression,5,5,0,0,0,0,0,0.0,complete,5,5,242.94891355530393,0.0,188.20095213802023,0.0,0.0464712512060364,0.0,0.0360840561129442,0.0,0.24771513619944016,0.005064080578117936,0.01132281100035466,0.0001958675163466154,5,True,1.0
sp500,close,lstm_gru,5,5,0,0,0,0,0,0.0,complete,5,5,244.1130338221954,1.2844855428783881,189.90000297632645,1.366556537332838,0.04718034807811646,0.00022462983227762305,0.03682868335639854,0.00029177997495906263,235.0280793232003,6.92087054320648,0.0311737566029478,0.0009892389885850054,5,True,2.0
