mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,model,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path,folds,forecast_count,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,persistence_rmse,price_rmse_ratio_to_persistence,rmse_ratio_to_persistence,price_rmse_rank
0.0749783278874516,0.0937157427863521,136.2492526910905,-0.1740681032368172,593.4155735965545,734.4039622975392,7.261354363380541,0.937541706783198,dnfs,1.065366327907529,590,197.50218352100276,0.0513951970096968,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed1/artifacts/20260716_234459_076312/checkpoints/dnfs,49,49,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed1/artifacts/20260716_234459_076312,753.477052018749,0.0933163829095019,0.9746865685290504,1.0042796330547605,1.0
0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,naive_persistence,,0,0.0,0.0,,49,49,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260716_223820_829639,753.477052018749,0.0933163829095019,1.0,1.0,2.0
0.0849065948467351,0.1066514702608023,160.19704796606766,-0.5205541108690606,668.1589590484807,812.056696408849,8.085308247011808,0.923635274756135,lstm_gru,1.1412681061489394,569,168.72594057500646,0.03154503100086,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260716_231759_461381/checkpoints/lstm_gru,49,49,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260716_231759_461381,753.477052018749,0.0933163829095019,1.0777457577946812,1.1429018885594049,3.0
0.1090235087811839,0.1362523351339359,421.5088685000548,-1.4817389344212786,908.897505194572,1136.6393006332155,10.235991217008811,0.8503883454026543,mlp,1.281803884282138,652,119.18217450299926,0.0160470720093144,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed1/artifacts/20260716_225945_816184/checkpoints/mlp,49,49,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed1/artifacts/20260716_225945_816184,753.477052018749,0.0933163829095019,1.5085254389471867,1.4601116211938179,4.0
0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,linear_regression,,0,0.2936102840067178,0.0123374410050018,,49,49,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260716_223927_462948,753.477052018749,0.0933163829095019,1.9456324547983959,1.9350628952264204,5.0
0.2343028271120274,0.2910834945248913,815.5070061717213,-10.326698649810025,1813.9561859990952,2272.779424055388,20.10778831393505,0.4018161722033673,cnn1d,3.4838116482299357,551,119.4280602990002,0.0217203579941269,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260716_224041_729156/checkpoints/cnn1d,49,49,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260716_224041_729156,753.477052018749,0.0933163829095019,3.0163883796673794,3.1193182316891095,6.0
0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,naive_persistence,,0,0.0,0.0,,49,49,bist100__naive_persistence__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed7/artifacts/20260716_223826_775232,753.477052018749,0.0933163829095019,1.0,1.0,1.0
0.0775861312298042,0.0953042310900208,170.72805725186294,-0.2142064893303696,626.8441184648307,769.9237035984747,7.517345922103003,0.9313539629472112,dnfs,1.074769223869151,572,191.005390965016,0.0507960309878399,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed7/artifacts/20260716_234828_836570/checkpoints/dnfs,49,49,bist100__dnfs__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed7/artifacts/20260716_234828_836570,753.477052018749,0.0933163829095019,1.0218276741616232,1.0213022420987612,2.0
0.0841338129440086,0.1059720271613783,166.13079218893526,-0.5012418759479325,658.059659443186,796.6201819532033,7.979535544624386,0.9265109388396592,lstm_gru,1.1724231748233491,594,175.88072864400965,0.0314814709836355,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed7/artifacts/20260716_232049_232513/checkpoints/lstm_gru,49,49,bist100__lstm_gru__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed7/artifacts/20260716_232049_232513,753.477052018749,0.0933163829095019,1.0572587178585775,1.1356208187382255,3.0
0.1179885326080561,0.1504490973630253,575.6611693404961,-2.0258497485978,929.9949592555912,1205.438986936375,10.89328667446259,0.8317285036849683,mlp,1.4232507974137456,621,112.56284313100514,0.0162435660004121,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed7/artifacts/20260716_230146_082425/checkpoints/mlp,49,49,bist100__mlp__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed7/artifacts/20260716_230146_082425,753.477052018749,0.0933163829095019,1.599835036391234,1.6122474175722246,4.0
0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,linear_regression,,0,0.2920957500009535,0.0122608309993665,,49,49,bist100__linear_regression__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed7/artifacts/20260716_223932_566197,753.477052018749,0.0933163829095019,1.9456324547983959,1.9350628952264204,5.0
