market,model,seeds,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,rmse_delta_pct_mean,rmse_delta_pct_std
bist100,cnn1d,5,-1.5649120465326263,2.1397844163330886,-25.942300387681463,4.107999201823678
bist100,naive_persistence,5,0.0,0.0,0.0,0.0
bist100,dnfs,5,2.927933617165943,3.761379271013791,-0.32192526714085656,2.3354001226491103
bist100,lstm_gru,5,4.503285093395061,2.382340913104186,-2.4781260546453923,1.107696422524433
bist100,mlp,5,84.92004471252847,24.881340190055777,56.52153963935636,11.396564883389113
bist100,linear_regression,5,100.40063289491486,0.0,94.49364360358868,0.0
sp500,cnn1d,5,-10.345034578832013,4.613939381788647,-11.603079110488936,4.093945963870131
sp500,dnfs,5,-8.344658494713737,1.6352944909146265,-8.609774192574735,1.501938153989191
sp500,naive_persistence,5,0.0,0.0,0.0,0.0
sp500,lstm_gru,5,1.7653358548773828,2.247513283775032,0.3820350143594889,1.7201734432025355
sp500,mlp,5,5.408424743211904,6.3551568503849465,3.6184623779845007,6.444552156051445
sp500,linear_regression,5,7.038554234193247,0.0,7.502476896033781,0.0
wig20,mlp,5,-2.088052885437631,1.8311407197548413,-1.2651459844437667,1.6906528462035901
wig20,linear_regression,5,-2.0121612132526123,0.0,-2.158899440700983,0.0
wig20,cnn1d,5,-1.5832332090900312,1.01213150596538,-1.3372244022918225,0.8418273343423899
wig20,lstm_gru,5,-1.322892807730431,3.5689421202510077,-0.4127221214973984,2.3850985593913916
wig20,naive_persistence,5,0.0,0.0,0.0,0.0
wig20,dnfs,5,3.740271998944922,3.7579906900608595,3.371118890233119,3.0845391490896272
