market,feature_set,model,horizon_step,seeds_completed,price_rmse_mean,price_rmse_std,rmse_mean,rmse_std,mean_ratio_to_persistence
bist100,close,naive_persistence,20,5,753.477052018749,0.0,0.0933163829095019,0.0,1.0
bist100,close,dnfs,20,5,772.1695655391242,24.248937397964458,0.09700173976379559,0.002579975618849758,1.024808338184014
bist100,close,lstm_gru,20,5,811.8420401162454,11.438802031959936,0.10634944622417002,0.000535614885778066,1.077460870163361
bist100,close,mlp,20,5,1215.2012788559575,55.62696137305936,0.14712946053653903,0.006166995840484276,1.6127913592061454
bist100,close,linear_regression,20,5,1465.989406353497,0.0,0.180573070084918,0.0,1.9456324547983956
bist100,close,cnn1d,20,5,2537.0638335012018,184.2273081164917,0.331262879095216,0.037632932884873474,3.367141476576875
bist100,indicators,naive_persistence,20,5,753.477052018749,0.0,0.0933163829095019,0.0,1.0
bist100,indicators,dnfs,20,5,794.1400653998519,13.789245273965694,0.0966427081611715,0.0006382116493722866,1.0539671556979164
bist100,indicators,lstm_gru,20,5,848.2471441215241,13.559473464952156,0.10371411497066171,0.001298098044715043,1.1257770118530657
bist100,indicators,mlp,20,5,2239.1459264592136,245.75474830624725,0.23001544169934202,0.014931632122840481,2.9717506597712497
bist100,indicators,cnn1d,20,5,2495.306999904032,152.5884685638958,0.24413084682992497,0.014247745553420607,3.3117226240911988
bist100,indicators,linear_regression,20,5,2937.8520485048134,0.0,0.3512031433750188,0.0,3.8990597532248534
sp500,close,linear_regression,20,5,242.94891355530393,0.0,0.0464712512060364,0.0,0.9774602066350365
sp500,close,lstm_gru,20,5,244.1130338221954,1.2844855428783881,0.04718034807811646,0.00022462983227762305,0.982143830117735
sp500,close,mlp,20,5,245.12264929299346,2.7360927499755836,0.04718288016585754,0.00045704092748910557,0.9862058320105056
sp500,close,naive_persistence,20,5,248.55120638789964,0.0,0.0477422900503976,0.0,1.0
sp500,close,cnn1d,20,5,253.35198592674638,7.931764831265591,0.04884290537293762,0.0013826264644977572,1.0193150522526713
sp500,close,dnfs,20,5,260.34467796980545,2.6544926813259373,0.050344016353681395,0.0005101103081048705,1.0474488607530652
sp500,indicators,cnn1d,20,5,226.90107994617173,7.172779967501067,0.043136763386643975,0.0011587434162347065,0.9128947038464993
sp500,indicators,dnfs,20,5,238.5995273266479,3.4418029022662098,0.04600591427658452,0.0006121677705430059,0.9599612522269527
sp500,indicators,lstm_gru,20,5,248.41854485494113,5.422720995794257,0.04736010239046908,0.0008074718324596325,0.9994662607561381
sp500,indicators,naive_persistence,20,5,248.55120638789964,0.0,0.0477422900503976,0.0,1.0
sp500,indicators,mlp,20,5,258.2766072757389,13.592543485439602,0.0488742723871099,0.0027358782942812497,1.039128359218911
sp500,indicators,linear_regression,20,5,260.0490045972773,0.0,0.0499577460910671,0.0,1.0462592733967009
wig20,close,naive_persistence,20,5,133.75027549774717,0.0,0.0508658401361443,0.0,1.0
wig20,close,dnfs,20,5,142.41100924871563,1.7359694585901535,0.054155652786039975,0.0005832304956474352,1.064753016161932
wig20,close,mlp,20,5,142.80418837267072,1.4285892201511627,0.05444371259878542,0.000821899389060288,1.0676926671083833
wig20,close,lstm_gru,20,5,142.8573021708612,1.7296514047457667,0.05355699306629552,0.0005692849799165383,1.0680897788002495
wig20,close,cnn1d,20,5,143.08056875676735,1.5898794616622531,0.05426233807217042,0.000460585710677636,1.0697590582471537
wig20,close,linear_regression,20,5,150.23205304994485,0.0,0.0552281460382454,0.0,1.1232279895563677
wig20,indicators,naive_persistence,20,5,133.75027549774717,0.0,0.0508658401361443,0.0,1.0
wig20,indicators,mlp,20,5,139.80699160301037,1.8592107928591672,0.05374446692240446,0.0003140125254956006,1.04528376545561
wig20,indicators,cnn1d,20,5,140.81891442659338,2.417176012374961,0.05353780987773886,0.0007498559853316654,1.0528495279919277
wig20,indicators,lstm_gru,20,5,140.9431803316663,4.468099014939071,0.05333094142619436,0.0011263777270825368,1.0537786169572434
wig20,indicators,linear_regression,20,5,147.20914194860077,0.0,0.05403582590231619,0.0,1.1006268316141172
wig20,indicators,dnfs,20,5,147.6903867789109,3.806110972226561,0.055972818358833075,0.0013909677867343475,1.1042249163920306
