run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,divergence,matched_plan_sha256,status,last_action,started_at,completed_at,duration_seconds,artifact_dir
wig20__linear_regression__close__seed1,wig20,linear_regression,close,1,2bbac6e2e1c7d2bace055668549b0301e86d3ad270e3d4747c7ec96e2a9a18b9,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:42.107208+00:00,2026-07-16T19:44:45.028193+00:00,2.9158685010002046,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__close__seed1/artifacts/20260716_194442_180094
wig20__linear_regression__close__seed7,wig20,linear_regression,close,7,e06ca1296469f19afca3cdb771d86888234708e953eb3cde98f6676f4ca8ccf0,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:45.030190+00:00,2026-07-16T19:44:47.919535+00:00,2.8840765009999814,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__close__seed7/artifacts/20260716_194445_092169
wig20__linear_regression__close__seed42,wig20,linear_regression,close,42,ecaaa319d8177af0a57be83a9b5e83ae2bf98edea4e8d8182d5bb0728bc5ee31,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:47.921186+00:00,2026-07-16T19:44:50.595106+00:00,2.668613551999897,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__close__seed42/artifacts/20260716_194447_980802
wig20__linear_regression__close__seed123,wig20,linear_regression,close,123,c6046acb035e6dd14f98ec7211e0540920c3c6e7bed08fd120ea91b363b14e05,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:50.597042+00:00,2026-07-16T19:44:53.344037+00:00,2.741499633999865,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__close__seed123/artifacts/20260716_194450_661831
wig20__linear_regression__close__seed2026,wig20,linear_regression,close,2026,435014ee51e0a1cad0d944c556172629a8e4b75c2fc6dc3163de61502da78d10,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:53.345917+00:00,2026-07-16T19:44:56.002351+00:00,2.651083276999998,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__close__seed2026/artifacts/20260716_194453_406852
wig20__linear_regression__indicators__seed1,wig20,linear_regression,indicators,1,cc17d8f48eb188cf2c5249efee4ada4501f008c58410e42d68851eb5d183ac7c,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:56.004149+00:00,2026-07-16T19:45:01.343129+00:00,5.33378738600004,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__indicators__seed1/artifacts/20260716_194456_070583
wig20__linear_regression__indicators__seed7,wig20,linear_regression,indicators,7,f04ec4da2dd38d03e2a28f98f623d4a69509dfa07853d23c279e34382c878ea8,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:45:01.344931+00:00,2026-07-16T19:45:06.772351+00:00,5.421977185000287,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__indicators__seed7/artifacts/20260716_194501_411525
wig20__linear_regression__indicators__seed42,wig20,linear_regression,indicators,42,25d821fbb45bb597093266f97b5bdd8fadee71eddec2f1805db083d9993c9f38,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:45:06.774085+00:00,2026-07-16T19:45:12.114428+00:00,5.335313274999862,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__indicators__seed42/artifacts/20260716_194506_838106
wig20__linear_regression__indicators__seed123,wig20,linear_regression,indicators,123,2e83c72e0f1b62dfad9572cc2a35c5e83a40fdde6f793babd99ba343a0a68431,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:45:12.116303+00:00,2026-07-16T19:45:17.642723+00:00,5.520528159999685,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__indicators__seed123/artifacts/20260716_194512_181521
wig20__linear_regression__indicators__seed2026,wig20,linear_regression,indicators,2026,adfee7aef1a1b166b266e005b0806760d023d690c985758cd1982d0ec9d43580,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:45:17.644666+00:00,2026-07-16T19:45:22.989399+00:00,5.339457027999742,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__linear_regression__indicators__seed2026/artifacts/20260716_194517_713650
