market,aligned_warmup_rows,usable_dates,folds,forecast_rows,first_origin,last_origin,plan_path,plan_sha256,origin_schedule_source,origin_schedule_source_sha256
bist100,33,6598,49,49,2022-07-26T00:00:00,2026-06-02T00:00:00,outputs/batches/markets_matched_origins_direct_h20/matched_origins/bist100_plan.csv,5acf50cfd10a729880aaf93845f705f81acf32374a05a0db62b783121a91997c,results/experiments/markets_matched_origins_recursive_h20/matched_origins/bist100_plan.csv,59f06038600018214f62038499769eec075ee134d56e6d17fb6ff489a0c534bd
sp500,33,6634,49,49,2022-07-22T00:00:00,2026-05-20T00:00:00,outputs/batches/markets_matched_origins_direct_h20/matched_origins/sp500_plan.csv,c968c654da3dfc6f3fc258df9db7535cd65905f6855f4e0ec8f5f472d0e82951,results/experiments/markets_matched_origins_recursive_h20/matched_origins/sp500_plan.csv,e760771130e8f247788479405024568e8a1726b48b830fc53e0821f6a98dadce
wig20,33,4966,37,37,2023-07-14T00:00:00,2026-06-05T00:00:00,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,results/experiments/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv,3a4a48336928c88cc3e55b613743550c1da8bb8af679d0347b003bc902c6cf3a
