fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
31,2025-01-10T00:00:00,2025-02-10T00:00:00,5226,987,2000-05-01T00:00:00,2021-02-05T00:00:00,2021-02-08T00:00:00,2025-01-10T00:00:00,2025-02-10T00:00:00,20
32,2025-02-10T00:00:00,2025-03-11T00:00:00,5246,987,2000-05-01T00:00:00,2021-03-08T00:00:00,2021-03-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,20
33,2025-03-11T00:00:00,2025-04-08T00:00:00,5266,987,2000-05-01T00:00:00,2021-04-06T00:00:00,2021-04-07T00:00:00,2025-03-11T00:00:00,2025-04-08T00:00:00,20
34,2025-04-08T00:00:00,2025-05-07T00:00:00,5286,987,2000-05-01T00:00:00,2021-05-04T00:00:00,2021-05-05T00:00:00,2025-04-08T00:00:00,2025-05-07T00:00:00,20
35,2025-05-07T00:00:00,2025-06-05T00:00:00,5306,987,2000-05-01T00:00:00,2021-06-02T00:00:00,2021-06-03T00:00:00,2025-05-07T00:00:00,2025-06-05T00:00:00,20
36,2025-06-05T00:00:00,2025-07-07T00:00:00,5326,987,2000-05-01T00:00:00,2021-06-30T00:00:00,2021-07-01T00:00:00,2025-06-05T00:00:00,2025-07-07T00:00:00,20
37,2025-07-07T00:00:00,2025-08-04T00:00:00,5346,987,2000-05-01T00:00:00,2021-07-29T00:00:00,2021-07-30T00:00:00,2025-07-07T00:00:00,2025-08-04T00:00:00,20
38,2025-08-04T00:00:00,2025-09-02T00:00:00,5366,987,2000-05-01T00:00:00,2021-08-26T00:00:00,2021-08-27T00:00:00,2025-08-04T00:00:00,2025-09-02T00:00:00,20
39,2025-09-02T00:00:00,2025-09-30T00:00:00,5386,987,2000-05-01T00:00:00,2021-09-24T00:00:00,2021-09-27T00:00:00,2025-09-02T00:00:00,2025-09-30T00:00:00,20
40,2025-09-30T00:00:00,2025-10-28T00:00:00,5406,987,2000-05-01T00:00:00,2021-10-22T00:00:00,2021-10-25T00:00:00,2025-09-30T00:00:00,2025-10-28T00:00:00,20
41,2025-10-28T00:00:00,2025-11-25T00:00:00,5426,987,2000-05-01T00:00:00,2021-11-19T00:00:00,2021-11-22T00:00:00,2025-10-28T00:00:00,2025-11-25T00:00:00,20
42,2025-11-25T00:00:00,2025-12-24T00:00:00,5446,987,2000-05-01T00:00:00,2021-12-20T00:00:00,2021-12-21T00:00:00,2025-11-25T00:00:00,2025-12-24T00:00:00,20
43,2025-12-24T00:00:00,2026-01-26T00:00:00,5466,987,2000-05-01T00:00:00,2022-01-19T00:00:00,2022-01-20T00:00:00,2025-12-24T00:00:00,2026-01-26T00:00:00,20
44,2026-01-26T00:00:00,2026-02-24T00:00:00,5486,987,2000-05-01T00:00:00,2022-02-16T00:00:00,2022-02-17T00:00:00,2026-01-26T00:00:00,2026-02-24T00:00:00,20
45,2026-02-24T00:00:00,2026-03-24T00:00:00,5506,987,2000-05-01T00:00:00,2022-03-17T00:00:00,2022-03-18T00:00:00,2026-02-24T00:00:00,2026-03-24T00:00:00,20
46,2026-03-24T00:00:00,2026-04-22T00:00:00,5526,987,2000-05-01T00:00:00,2022-04-14T00:00:00,2022-04-18T00:00:00,2026-03-24T00:00:00,2026-04-22T00:00:00,20
47,2026-04-22T00:00:00,2026-05-20T00:00:00,5546,987,2000-05-01T00:00:00,2022-05-13T00:00:00,2022-05-16T00:00:00,2026-04-22T00:00:00,2026-05-20T00:00:00,20
48,2026-05-20T00:00:00,2026-06-18T00:00:00,5566,987,2000-05-01T00:00:00,2022-06-13T00:00:00,2022-06-14T00:00:00,2026-05-20T00:00:00,2026-06-18T00:00:00,20
