fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
27,2024-09-23T00:00:00,2024-10-21T00:00:00,5121,982,2000-05-05T00:00:00,2020-10-14T00:00:00,2020-10-15T00:00:00,2024-09-23T00:00:00,2024-10-21T00:00:00,20
28,2024-10-21T00:00:00,2024-11-19T00:00:00,5141,982,2000-05-05T00:00:00,2020-11-12T00:00:00,2020-11-13T00:00:00,2024-10-21T00:00:00,2024-11-19T00:00:00,20
29,2024-11-19T00:00:00,2024-12-17T00:00:00,5161,982,2000-05-05T00:00:00,2020-12-10T00:00:00,2020-12-11T00:00:00,2024-11-19T00:00:00,2024-12-17T00:00:00,20
30,2024-12-17T00:00:00,2025-01-16T00:00:00,5181,982,2000-05-05T00:00:00,2021-01-11T00:00:00,2021-01-12T00:00:00,2024-12-17T00:00:00,2025-01-16T00:00:00,20
31,2025-01-16T00:00:00,2025-02-13T00:00:00,5201,982,2000-05-05T00:00:00,2021-02-08T00:00:00,2021-02-09T00:00:00,2025-01-16T00:00:00,2025-02-13T00:00:00,20
32,2025-02-13T00:00:00,2025-03-13T00:00:00,5221,982,2000-05-05T00:00:00,2021-03-08T00:00:00,2021-03-09T00:00:00,2025-02-13T00:00:00,2025-03-13T00:00:00,20
33,2025-03-13T00:00:00,2025-04-14T00:00:00,5241,982,2000-05-05T00:00:00,2021-04-06T00:00:00,2021-04-07T00:00:00,2025-03-13T00:00:00,2025-04-14T00:00:00,20
34,2025-04-14T00:00:00,2025-05-14T00:00:00,5261,982,2000-05-05T00:00:00,2021-05-05T00:00:00,2021-05-06T00:00:00,2025-04-14T00:00:00,2025-05-14T00:00:00,20
35,2025-05-14T00:00:00,2025-06-16T00:00:00,5281,982,2000-05-05T00:00:00,2021-06-07T00:00:00,2021-06-08T00:00:00,2025-05-14T00:00:00,2025-06-16T00:00:00,20
36,2025-06-16T00:00:00,2025-07-14T00:00:00,5301,982,2000-05-05T00:00:00,2021-07-05T00:00:00,2021-07-06T00:00:00,2025-06-16T00:00:00,2025-07-14T00:00:00,20
37,2025-07-14T00:00:00,2025-08-12T00:00:00,5321,982,2000-05-05T00:00:00,2021-08-09T00:00:00,2021-08-10T00:00:00,2025-07-14T00:00:00,2025-08-12T00:00:00,20
38,2025-08-12T00:00:00,2025-09-09T00:00:00,5341,982,2000-05-05T00:00:00,2021-09-07T00:00:00,2021-09-08T00:00:00,2025-08-12T00:00:00,2025-09-09T00:00:00,20
39,2025-09-09T00:00:00,2025-10-07T00:00:00,5361,982,2000-05-05T00:00:00,2021-10-05T00:00:00,2021-10-06T00:00:00,2025-09-09T00:00:00,2025-10-07T00:00:00,20
40,2025-10-07T00:00:00,2025-11-05T00:00:00,5381,982,2000-05-05T00:00:00,2021-11-03T00:00:00,2021-11-04T00:00:00,2025-10-07T00:00:00,2025-11-05T00:00:00,20
41,2025-11-05T00:00:00,2025-12-03T00:00:00,5401,982,2000-05-05T00:00:00,2021-12-01T00:00:00,2021-12-02T00:00:00,2025-11-05T00:00:00,2025-12-03T00:00:00,20
42,2025-12-03T00:00:00,2026-01-02T00:00:00,5421,982,2000-05-05T00:00:00,2021-12-29T00:00:00,2021-12-30T00:00:00,2025-12-03T00:00:00,2026-01-02T00:00:00,20
43,2026-01-02T00:00:00,2026-01-30T00:00:00,5441,982,2000-05-05T00:00:00,2022-01-26T00:00:00,2022-01-27T00:00:00,2026-01-02T00:00:00,2026-01-30T00:00:00,20
44,2026-01-30T00:00:00,2026-02-27T00:00:00,5461,982,2000-05-05T00:00:00,2022-02-23T00:00:00,2022-02-24T00:00:00,2026-01-30T00:00:00,2026-02-27T00:00:00,20
45,2026-02-27T00:00:00,2026-03-30T00:00:00,5481,982,2000-05-05T00:00:00,2022-03-23T00:00:00,2022-03-24T00:00:00,2026-02-27T00:00:00,2026-03-30T00:00:00,20
46,2026-03-30T00:00:00,2026-04-28T00:00:00,5501,982,2000-05-05T00:00:00,2022-04-20T00:00:00,2022-04-21T00:00:00,2026-03-30T00:00:00,2026-04-28T00:00:00,20
47,2026-04-28T00:00:00,2026-06-02T00:00:00,5521,982,2000-05-05T00:00:00,2022-05-24T00:00:00,2022-05-25T00:00:00,2026-04-28T00:00:00,2026-06-02T00:00:00,20
48,2026-06-02T00:00:00,2026-06-30T00:00:00,5541,982,2000-05-05T00:00:00,2022-06-21T00:00:00,2022-06-22T00:00:00,2026-06-02T00:00:00,2026-06-30T00:00:00,20
