market,feature_set,model,planned_runs,completed_runs,failed_runs,running_runs,planned_pending_runs,skipped_runs,divergence_count,divergence_rate,completion_state,runs,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,seeds_beating_persistence,eligible_for_ranking,price_rmse_rank
canada_tsx,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete,3,3,653.3988574272179,26.696579324653868,479.8557183816578,13.799334851544003,0.024648326256875335,0.0007170789925488959,0.0184772509851839,0.0004581622859338454,124.87335202133288,3.6276201996274486,0.509270884999296,0.0035093497733985086,2,True,1.0
canada_tsx,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete,1,1,669.2528395321609,,488.85936989379087,,0.0250526248331425,,0.0188085701479424,,0.0,,0.0,,0,True,2.0
canada_tsx,close,cnn1d,3,3,0,0,0,3,0,0.0,complete,3,3,706.8557979859324,33.66110083812776,512.2814357172598,13.09402989065894,0.027234337395830168,0.0012142382053196943,0.019953884517827068,0.0006173128684888894,105.37733674133331,18.001067805890994,0.3934421323325523,0.06366902684505271,0,True,3.0
canada_tsx,close,dnfs,3,3,0,0,0,3,0,0.0,complete,3,3,714.9894546882615,25.06966463023692,512.1877846415205,15.82415789224359,0.026427831334657332,0.0007781358433824556,0.019563826713937766,0.0005545573560145965,155.30185990933447,7.212729506730964,0.8433371076660782,0.004103642146931175,0,True,4.0
canada_tsx,close,linear_regression,1,1,0,0,0,1,0,0.0,complete,1,1,836.5252712415527,,618.3228668871408,,0.031496645478721,,0.0238404030331182,,0.5866382010001416,,0.1614267420007991,,0,True,5.0
canada_tsx,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete,3,3,623.2453416801677,17.153212782847053,467.83809353124553,12.132479992174705,0.0230827634456762,0.0005291729040284357,0.017861816573087934,0.0004432413217402909,96.00624041766666,6.01910102585535,0.33600334299868945,0.0037442117508688765,3,True,1.0
canada_tsx,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete,3,3,640.5694489009916,14.673467473272714,474.3205608091783,12.949634346745482,0.0242709093703186,0.00045491739373306324,0.018292366601268702,0.00050698997724643,140.04513669233256,6.44782017739915,0.8833447423333686,0.008314956320223684,3,True,2.0
canada_tsx,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete,3,3,660.0777025454286,18.669408867435532,472.54315673159863,12.797945288741596,0.024774170961956037,0.0008649525934601386,0.018106100544015867,0.0005984105830592521,113.74597150633274,2.8375009143137073,0.5318950616692746,0.0020008995477279546,2,True,3.0
canada_tsx,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete,1,1,669.2528395321609,,488.85936989379087,,0.0250526248331425,,0.0188085701479424,,0.0,,0.0,,0,True,4.0
canada_tsx,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete,1,1,907.724102035156,,661.4041913259653,,0.0341193481356229,,0.0255023834330102,,5.31754273599995,,0.1691922010003281,,0,True,5.0
