mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,model,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path,folds,forecast_count,run_id,market,feature_set,seed,artifact_dir,source_batch,persistence_price_rmse,persistence_rmse,price_rmse_ratio_to_persistence,rmse_ratio_to_persistence,price_rmse_rank
0.0200030187820921,0.0268538873731275,216.3668390362768,-0.2882075455951756,525.9914669999023,724.4016459145728,1.983556936142516,0.9777226675611324,dnfs,0.4962595024934182,576,157.12357418900137,0.8413604239976848,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__close__seed2026/artifacts/20260723_182649_775702/checkpoints/dnfs,39,765,canada_tsx__dnfs__close__seed2026,canada_tsx,close,2026,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__close__seed2026/artifacts/20260723_182649_775702,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,1.082403544856027,1.0718991543593501,4.0
0.0177313972480049,0.0229562310258921,340.7967072978733,0.0586032689962043,466.8007254356356,626.0386628640314,1.7671004222949889,0.98336178855033,cnn1d,0.4949946690064209,544,90.1555992499998,0.3401810699992893,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed1/artifacts/20260723_180352_344414/checkpoints/cnn1d,39,765,canada_tsx__cnn1d__indicators__seed1,canada_tsx,indicators,1,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed1/artifacts/20260723_180352_344414,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9354292217895732,0.9163203927247956,1.0
0.0185126151884096,0.0243583907311236,185.2808618963757,-0.0599092877085045,474.4831748445175,629.913487795638,1.835887460256232,0.9831551889351134,dnfs,0.4971892935597999,500,138.85638565899944,0.8816863390065919,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__indicators__seed1/artifacts/20260723_182937_294299/checkpoints/dnfs,39,765,canada_tsx__dnfs__indicators__seed1,canada_tsx,indicators,1,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__indicators__seed1/artifacts/20260723_182937_294299,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9412189991393642,0.9722889674577937,2.0
0.0178846039591839,0.0246010814733646,221.26979406480424,-0.0811349597523403,469.22066040901456,662.6789504690172,1.777381200023756,0.9813572197475252,lstm_gru,0.4978537495829102,459,110.48831517699978,0.533234916004858,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__lstm_gru__indicators__seed1/artifacts/20260723_181520_300983/checkpoints/lstm_gru,39,765,canada_tsx__lstm_gru__indicators__seed1,canada_tsx,indicators,1,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__lstm_gru__indicators__seed1/artifacts/20260723_181520_300983,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9901772713168626,0.9819762055758507,3.0
0.0174984168924838,0.0226283269199993,347.93483445724394,0.0853047970053983,456.2576052380935,604.8669047869633,1.7429052685509905,0.984468121858615,cnn1d,0.4953866125617782,622,102.18072637199975,0.3329505970020818,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed42/artifacts/20260723_180528_564434/checkpoints/cnn1d,39,765,canada_tsx__cnn1d__indicators__seed42,canada_tsx,indicators,42,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed42/artifacts/20260723_180528_564434,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9037943047201618,0.9032317799316558,1.0
0.0177125011482017,0.0237786042087602,238.13426077613445,-0.0100531532419279,461.29038522236175,634.4891641438113,1.7569100954541137,0.9829095795120928,dnfs,0.4972259707303128,528,147.0046153719995,0.8759839639960774,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__indicators__seed42/artifacts/20260723_183211_816064/checkpoints/dnfs,39,765,canada_tsx__dnfs__indicators__seed42,canada_tsx,indicators,42,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__dnfs__indicators__seed42/artifacts/20260723_183211_816064,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9480559911966141,0.94914622188822,2.0
0.0176500158159592,0.0240088512741748,174.4270248932368,-0.0297084462572618,461.73411350682295,640.2440820803837,1.7541122569595256,0.9825981478405056,lstm_gru,0.4975410005093639,478,115.07120805599834,0.5295950450040436,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__lstm_gru__indicators__seed42/artifacts/20260723_181716_909922/checkpoints/lstm_gru,39,765,canada_tsx__lstm_gru__indicators__seed42,canada_tsx,indicators,42,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__lstm_gru__indicators__seed42/artifacts/20260723_181716_909922,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.9566550102767503,0.9583367584866047,3.0
0.0188085701479424,0.0250526248331425,100.0,-0.1211868155298676,488.85936989379087,669.2528395321609,1.8633435963327645,0.98098550594773,naive_persistence,,0,0.0,0.0,,39,765,canada_tsx__naive_persistence__indicators__seed42,canada_tsx,indicators,42,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__naive_persistence__indicators__seed42/artifacts/20260723_175825_146151,g7_stage1_expanding_recursive_baselines,669.2528395321609,0.0250526248331425,1.0,1.0,4.0
0.0255023834330102,0.0341193481356229,406.1691650025776,-1.0795672187776764,661.4041913259653,907.724102035156,2.4980767855720125,0.9650206235756952,linear_regression,,0,5.31754273599995,0.1691922010003281,,39,765,canada_tsx__linear_regression__indicators__seed42,canada_tsx,indicators,42,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__linear_regression__indicators__seed42/artifacts/20260723_175836_584937,g7_stage1_expanding_recursive_baselines,669.2528395321609,0.0250526248331425,1.3563246181662787,1.361907120027036,5.0
0.0183556355787751,0.0236637323911372,337.1906931084198,-0.0003178143103261,480.4559499200074,638.8304573895084,1.832556165646079,0.9826749077237118,cnn1d,0.4945248852555568,582,95.68239563100042,0.3348783619946971,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed2026/artifacts/20260723_180716_579564/checkpoints/cnn1d,39,765,canada_tsx__cnn1d__indicators__seed2026,canada_tsx,indicators,2026,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_neural/runs/canada_tsx__cnn1d__indicators__seed2026/artifacts/20260723_180716_579564,g7_stage1_expanding_recursive_neural,669.2528395321609,0.0250526248331425,0.954542767179114,0.9445610010425769,1.0
