market,feature_set,model,runs,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,price_rmse_rank
bist100,close,naive_persistence,5,5,488.67062016376485,0.0,370.7087917231647,0.0,0.061947692238757,0.0,0.0468419829165239,0.0,0.0,0.0,0.0,0.0,1.0
bist100,close,lstm_gru,5,5,499.91241885884864,11.008724390304337,380.19623275323096,8.062492135275706,0.06472944424313046,0.0009880630680281835,0.04842368398325884,0.00084658437677473,193.49393243220624,4.59835819032913,0.6516535438066058,0.005652617010095592,2.0
bist100,close,mlp,5,5,651.8879429170836,82.99333895464538,465.4726144335017,43.445405180032694,0.07420890157454314,0.007188847845717753,0.055620198642448083,0.004456397594910355,143.72001094659754,6.565012978487277,0.3033576951929717,0.003046449512111498,3.0
bist100,close,cnn1d,5,5,1025.865938931921,76.9663321784573,660.429969017351,47.070213537685845,0.13080218695169463,0.013004338862740753,0.08223660944506853,0.0069245501585485205,141.54522828840237,6.5308374561586655,0.41764768262473806,0.0025798597505322855,4.0
bist100,close,linear_regression,5,5,2076.6014802828395,0.0,1204.5901642990152,0.0,0.2009089350353667,0.0,0.1423684349504896,0.0,0.2528799319996323,0.007710936172936269,0.19208104320005073,0.0009503178292849342,5.0
bist100,close,dnfs,5,5,2715.9265214956213,1282.7860685953774,965.1848445275169,143.25761619738978,0.18012276217559128,0.022379557590234755,0.0987687353183391,0.006854572476837975,130.5184078125967,7.7281611989522165,0.3705110979841265,0.0022182293989736024,6.0
bist100,indicators,naive_persistence,5,5,544.3323490510911,0.0,411.49421664038726,0.0,0.0665400295390244,0.0,0.0510484144439592,0.0,0.0,0.0,0.0,0.0,1.0
bist100,indicators,lstm_gru,5,5,568.9013101871387,30.091353651087122,428.1815481290879,21.519446848218763,0.06941541577297614,0.0033026599560535687,0.052774934899622816,0.0026074290175661773,204.07631148440342,16.581658328543547,0.690852018550504,0.006571458009675589,2.0
bist100,indicators,mlp,5,5,806.077014064249,112.2077631131949,546.8403614700019,73.40895149406934,0.09194709313070736,0.017041297204040417,0.06524878428904904,0.010104199447137162,176.068100761397,6.687127948463433,0.3319851637756074,0.004044040363109632,3.0
bist100,indicators,cnn1d,5,5,1062.0710067311545,120.7769888150011,712.8010159799371,87.57823732889356,0.11509162974339744,0.01848940043148777,0.0824591752733096,0.01074836819933557,142.99928648259848,2.41086355279124,0.42885716599485024,0.002157678330113367,4.0
sp500,close,lstm_gru,5,5,156.08505542880914,1.5390782275203347,118.98958810201364,1.2497436396917765,0.03223979663603566,0.00029754547003792153,0.02356666428167382,0.00023189633627906882,233.00356094759917,11.690857136930541,0.6657478588083905,0.004186429770753933,1.0
sp500,close,mlp,5,5,156.70509444073414,1.1699179903040928,119.5011599262189,1.0372134723204909,0.03228913686492392,0.00023980616407143283,0.023653978294426177,0.00020636800571434015,162.93773320419805,6.025054236730621,0.30923536319296546,0.0013552609328892657,2.0
sp500,close,linear_regression,5,5,157.54484195950687,0.0,119.3038147767096,0.0,0.0320992941823768,0.0,0.023580397144739,0.0,0.24822250340093882,0.0036404579948751026,0.1932088522039521,0.003914804668909401,3.0
sp500,close,cnn1d,5,5,158.85352528673968,2.5342815459203902,122.62371559174808,1.6767371439222005,0.03261340114746262,0.00044569752466365296,0.02422822730994012,0.0002913388805570452,172.15902270159933,4.93617993312531,0.440206363406287,0.009357631584249279,4.0
sp500,close,naive_persistence,5,5,160.199699639186,0.0,124.59827309075663,0.0,0.032669855911386,0.0,0.0245395339213405,0.0,0.0,0.0,0.0,0.0,5.0
sp500,close,dnfs,5,5,179.15789940843624,5.2294428293022435,137.1075083928393,2.387626053555365,0.03605853563808026,0.0010354783566240875,0.02694649189032918,0.0004893071278701588,130.92245248400178,4.799223373455923,0.3739671218161674,0.0051672227466056705,6.0
sp500,indicators,cnn1d,5,5,153.87003017476408,3.1309637751008275,113.72085342735468,2.7972795367166605,0.03053244465617866,0.0006659161219518139,0.022237540390823117,0.0005276017256604306,164.01437481380017,11.012760100096736,0.43145798760142495,0.0046767594065068,1.0
