market,model,seeds,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,rmse_delta_pct_mean,rmse_delta_pct_std
bist100,cnn1d,5,4.103758403592787,14.74437369326031,-11.454324202679322,14.868112401564177
bist100,naive_persistence,5,11.390438997268289,0.0,7.413250008681102,0.0
bist100,lstm_gru,5,13.849690868825997,6.619527914306149,7.27275723890032,5.663883732244015
bist100,mlp,5,23.76791397064012,9.813814689410133,24.092296789937222,20.810661005734715
sp500,cnn1d,5,-3.140149526211273,0.8662107125070875,-6.383276681900148,1.4005206932015617
sp500,naive_persistence,5,4.408203592322731,0.0,1.259656921460983,0.0
sp500,lstm_gru,5,4.958832120169453,2.201150261574485,1.105286044776069,2.215036542614043
sp500,mlp,5,5.24515420143928,3.1244400562903674,0.24831270261662244,3.0110192649057557
sp500,linear_regression,5,7.985908111369957,0.0,4.27443791987112,0.0
sp500,dnfs,5,25.993247713593973,15.198056519725768,23.466349442888433,14.886435940363931
wig20,naive_persistence,5,-10.586076232136842,0.0,-10.728579700947455,0.0
wig20,linear_regression,5,-9.701297540157928,0.0,-9.988807458024295,0.0
wig20,lstm_gru,5,-9.614122842768927,1.0488887941134186,-9.439278096603234,0.8054782796648223
wig20,dnfs,5,-8.57437331236222,3.196495923209974,-8.934537047062374,2.7335355010751874
wig20,cnn1d,5,-7.243918849808755,0.7986887962363108,-8.013388497648403,1.0855560475742747
wig20,mlp,5,-6.669048029752384,3.741705316160918,-7.398708494563199,3.2812594769795282
