market,feature_set,model,horizon_step,seeds_completed,price_rmse_mean,price_rmse_std,rmse_mean,rmse_std,mean_ratio_to_persistence
bist100,close,naive_persistence,1,5,164.8922780960078,0.0,0.0199811136669677,0.0,1.0
bist100,close,lstm_gru,1,5,165.36876921484085,1.0442058228772855,0.02014159174603334,0.0002183762995464122,1.0028897115397704
bist100,close,mlp,1,5,167.21795461420402,6.817138569880251,0.020383791126411838,0.0003003554273729556,1.0141042172808246
bist100,close,cnn1d,1,5,207.83389945926393,9.420501814010839,0.024489466264305183,0.0012023728332393544,1.2604222699758783
bist100,close,dnfs,1,5,214.99750260642213,6.629805807851343,0.024458757918128078,0.0009393835896887874,1.303866409567347
bist100,close,linear_regression,1,5,347.6012946743109,0.0,0.0404633699145154,0.0,2.108050775257781
bist100,close,naive_persistence,2,5,198.54117117130824,0.0,0.0242825735390601,0.0,1.0
bist100,close,lstm_gru,2,5,202.63053255960753,2.8721536429426675,0.02490559370924904,0.0003798883534300755,1.0205970447548676
bist100,close,mlp,2,5,207.72345174049352,12.924771878172269,0.024853235780713002,0.0005018143692156067,1.0462487478794134
bist100,close,cnn1d,2,5,294.34317961962245,13.441934774161895,0.0341531679503376,0.0017908560367278768,1.482529683305096
bist100,close,dnfs,2,5,324.0429674579008,15.922291233114375,0.03519231425532132,0.001913278467600544,1.6321197540348205
bist100,close,linear_regression,2,5,538.8786279191347,0.0,0.05942834957918329,0.0,2.7141908388067857
bist100,close,naive_persistence,3,5,258.6130748454131,0.0,0.0359074397001824,0.0,1.0
bist100,close,lstm_gru,3,5,265.45258055077136,2.3017749401684657,0.03672521890363174,0.0003502241303096221,1.0264468674271265
bist100,close,mlp,3,5,282.0613830319153,13.57514353638051,0.0371675813086799,0.0007525167666352367,1.0906694613198442
bist100,close,cnn1d,3,5,408.0757379943303,16.63315121906166,0.0504792762397799,0.002450267052567413,1.5779393143144795
bist100,close,dnfs,3,5,447.59891775770546,31.665406982877272,0.051442674713842694,0.0031862498075533314,1.7307667759074412
bist100,close,linear_regression,3,5,693.9648055371736,0.0,0.0828821116084791,0.0,2.6834095915374485
bist100,close,naive_persistence,4,5,290.8548500972844,0.0,0.0387233712375708,0.0,1.0
bist100,close,lstm_gru,4,5,295.67862369401297,3.6688679604402203,0.0395561470125856,0.0004078948134412487,1.0165848140236105
bist100,close,mlp,4,5,327.02268289660674,21.71163437294428,0.04121648887358378,0.0016500576069248324,1.124350110672815
bist100,close,cnn1d,4,5,477.69078341234734,24.653709280073883,0.058333286616478366,0.003895414052824885,1.6423682921311802
bist100,close,dnfs,4,5,557.1262869928123,53.86877475134484,0.06180279870541614,0.005067477784492182,1.9154787578975085
bist100,close,linear_regression,4,5,884.7344678579809,0.0,0.1054265858611586,0.0,3.0418418931713096
bist100,close,naive_persistence,5,5,340.3552018286413,0.0,0.0460337849208705,0.0,1.0
bist100,close,lstm_gru,5,5,344.6191912190396,5.247294508765863,0.04693673179233742,0.0012061780209081862,1.012528057063588
bist100,close,mlp,5,5,381.54755062038646,32.211639368584244,0.04921212392729964,0.0014108408153767848,1.1210275282129645
bist100,close,cnn1d,5,5,565.6161330158997,33.14693394347244,0.0701713450731955,0.005003040584408477,1.661840718099765
bist100,close,dnfs,5,5,685.914006727304,64.4449541581203,0.07552778867360985,0.005801166599354919,2.0152887425902817
bist100,close,linear_regression,5,5,1064.5209559056534,0.0,0.1268340303074865,0.0,3.1276764691306465
bist100,close,naive_persistence,6,5,312.632978095178,0.0,0.0412270511841203,0.0,1.0
bist100,close,lstm_gru,6,5,323.74952298741243,5.159421426224704,0.0427668572293618,0.0011286066818239425,1.0355578127424871
bist100,close,mlp,6,5,382.243391068989,34.676502516762554,0.04615804994452286,0.001674659486346622,1.2226585736346052
bist100,close,cnn1d,6,5,606.9291190423667,41.69818544884364,0.07349942798718702,0.006220866927025985,1.9413470796980132
bist100,close,dnfs,6,5,795.4483481229774,98.89281064275222,0.08378239547192615,0.006818914034477992,2.5443520161229154
bist100,close,linear_regression,6,5,1193.3059766754573,0.0,0.1398969343749074,0.0,3.8169548969084355
bist100,close,naive_persistence,7,5,362.6158377105467,0.0,0.0442406836131711,0.0,1.0
bist100,close,lstm_gru,7,5,372.8171999021265,7.541251362783932,0.04590039456548152,0.001027108989578454,1.0281326989355686
bist100,close,mlp,7,5,447.8036535607186,40.236186412810966,0.05039548845790202,0.002584487050027928,1.234925800229862
bist100,close,cnn1d,7,5,684.1004278256867,48.517449252518766,0.08191471356408998,0.007492129680878565,1.88657073597475
bist100,close,dnfs,7,5,928.4480591836179,131.40180033146495,0.09580744002716152,0.00797801221591055,2.560417837912362
bist100,close,linear_regression,7,5,1195.2017840208282,0.0,0.1367471393200578,0.0,3.2960551077056985
bist100,close,naive_persistence,8,5,374.3872622729846,0.0,0.0470042093577225,0.0,1.0
bist100,close,lstm_gru,8,5,389.0014306373463,8.132003157459968,0.049017150199593865,0.0009583047970791276,1.0390348973830892
bist100,close,mlp,8,5,480.7243068233573,43.72746603056086,0.05422279974398938,0.003618798604272183,1.2840295471186118
bist100,close,cnn1d,8,5,768.8889459703626,62.226353367724066,0.09279837251293946,0.00934721412323512,2.0537262440561532
bist100,close,dnfs,8,5,1059.6772679438516,169.67477409625107,0.10860189851049273,0.009860020879951895,2.8304308792727775
bist100,close,linear_regression,8,5,1263.1599265135033,0.0,0.1437950966516321,0.0,3.3739393772229085
bist100,close,naive_persistence,9,5,378.0350943139446,0.0,0.0501458975405503,0.0,1.0
bist100,close,lstm_gru,9,5,401.5918190448836,14.299088186363416,0.05290628784417482,0.0011927908649961277,1.062313592270288
bist100,close,mlp,9,5,510.0961872972992,57.51478650754254,0.05915607628166658,0.005124568401923689,1.3493355378103669
bist100,close,cnn1d,9,5,845.6364877965292,67.68352011753814,0.10308211486550171,0.009651456671492479,2.2369258847017477
bist100,close,dnfs,9,5,1208.5042403813911,218.23445179544404,0.12266752875091895,0.011584396149362578,3.196804366998191
bist100,close,linear_regression,9,5,1216.633921909428,0.0,0.1389161279100917,0.0,3.2183094644092938
bist100,close,naive_persistence,10,5,423.7535390395772,0.0,0.05443788489361549,0.0,1.0
bist100,close,lstm_gru,10,5,447.03167355197013,17.15646530654164,0.0573777470861362,0.0012191521620712055,1.0549331919803007
bist100,close,mlp,10,5,571.5126511746394,64.93291664760324,0.06491694877343793,0.006110527978985452,1.3486911577657925
bist100,close,cnn1d,10,5,918.472003886857,76.74131592660785,0.11268850964646995,0.011375099327892811,2.1674674528230304
bist100,close,linear_regression,10,5,1225.5864480398511,0.0,0.137314092589799,0.0,2.8922152504439267
bist100,close,dnfs,10,5,1394.2100128668544,291.27359945725954,0.13813463253617345,0.014816849298689186,3.2901436434649804
bist100,close,naive_persistence,11,5,501.30507299630943,0.0,0.059353984128977,0.0,1.0
bist100,close,lstm_gru,11,5,526.8148586401288,23.01087891177947,0.062493333406406615,0.001280046547412673,1.050886749442504
bist100,close,mlp,11,5,660.4332817384155,74.10961748794028,0.07173668106160536,0.007166501196123485,1.3174278843638945
bist100,close,cnn1d,11,5,994.7399058641549,72.07992066464129,0.12092489844556675,0.01229803305842325,1.9843004977359926
bist100,close,linear_regression,11,5,1141.4857171283495,0.0,0.1264324073923444,0.0,2.2770280585944778
bist100,close,dnfs,11,5,1592.9423515832775,385.4703223670111,0.15219012404518478,0.018542440632436055,3.177590727463085
bist100,close,naive_persistence,12,5,485.1922610278928,0.0,0.0588022645019138,0.0,1.0
bist100,close,lstm_gru,12,5,492.97094266795966,22.542459002847494,0.0611344129392381,0.001557123407417505,1.0160321634635876
bist100,close,mlp,12,5,659.0962984864411,94.34240039411601,0.07315431572687864,0.009780645878519624,1.3584229416399345
bist100,close,cnn1d,12,5,1013.0679431449577,85.24614345255199,0.12625330277105615,0.013695945033141733,2.0879721803450577
bist100,close,linear_regression,12,5,1137.4175070619117,0.0,0.1208903311136504,0.0,2.344261437006976
bist100,close,dnfs,12,5,1788.1003725385349,492.86647667504354,0.16560179181673146,0.020804580502548443,3.685343968080604
bist100,close,naive_persistence,13,5,496.39925603149305,0.0,0.0617774429710939,0.0,1.0
bist100,close,lstm_gru,13,5,500.65720175908547,15.35677566764275,0.06424665191094084,0.0012132315175936185,1.0085776633946493
bist100,close,mlp,13,5,684.5434202618586,100.21400094976075,0.07618284931381916,0.009926945506671857,1.3790178207245924
bist100,close,cnn1d,13,5,1078.9040939131264,100.09473156974875,0.13648758408948133,0.015548579533676764,2.173460336219113
bist100,close,linear_regression,13,5,1224.4692125119852,0.0,0.1271266011919255,0.0,2.46670235225796
bist100,close,dnfs,13,5,2018.3977717462906,616.3346599207667,0.1803832695329693,0.022932015068277915,4.0660773504830505
bist100,close,lstm_gru,14,5,548.6905436116301,9.631671042390193,0.06993506952213958,0.0014315052802628327,0.9955133202328392
bist100,close,naive_persistence,14,5,551.1634374548576,0.0,0.0674423993849423,0.0,1.0
bist100,close,mlp,14,5,745.0099159177936,112.31986892937041,0.0831789736127074,0.010922241681365978,1.3517041684732813
bist100,close,cnn1d,14,5,1187.3133957519208,102.0071349260099,0.15040870011381743,0.016121219333696524,2.154194772488272
bist100,close,linear_regression,14,5,1529.7516219082345,0.0,0.152859402127235,0.0,2.7754954664124054
bist100,close,dnfs,14,5,2330.288732603848,773.3786623998557,0.19974392711715497,0.023363132032394623,4.227945059934619
bist100,close,lstm_gru,15,5,594.3560570174311,14.267110030730116,0.07512379253255176,0.0015266675304464814,0.999320392367548
bist100,close,naive_persistence,15,5,594.7602606300345,0.0,0.0723948985918035,0.0,1.0
bist100,close,mlp,15,5,800.8658950922845,125.29500543716452,0.08941145971660955,0.011808876009223486,1.3465356515983777
bist100,close,cnn1d,15,5,1260.8337963807312,105.06667851450955,0.16086319574018906,0.017860101970883075,2.11990255543489
bist100,close,linear_regression,15,5,1761.645789414726,0.0,0.1846505233177161,0.0,2.9619426616509315
bist100,close,dnfs,15,5,2685.92609548368,1001.0829468416877,0.2175910347159226,0.0269238853755909,4.515981099070836
bist100,close,naive_persistence,16,5,630.6143238286485,0.0,0.0781166199425053,0.0,1.0
bist100,close,lstm_gru,16,5,635.9168267510388,18.213552615994143,0.08183084778523306,0.0015768410509342185,1.0084084720597484
bist100,close,mlp,16,5,856.041059149314,127.40440810001313,0.09581832119724502,0.012297455656920322,1.3574716380560978
bist100,close,cnn1d,16,5,1348.2633776874889,103.31995332758899,0.17355755957314067,0.018003467344651455,2.138015783564474
bist100,close,linear_regression,16,5,2341.6560102434137,0.0,0.24302031584392864,0.0,3.7132934057484115
bist100,close,dnfs,16,5,3117.8603106376518,1282.5802263688763,0.23762594542818602,0.03011349630580566,4.944163481267263
bist100,close,naive_persistence,17,5,659.1099576588017,0.0,0.0836830832825828,0.0,1.0
bist100,close,lstm_gru,17,5,662.7729498561275,15.327554175084543,0.08743959321633492,0.0015169754996356426,1.0055574827155351
bist100,close,mlp,17,5,886.2321130309601,134.46823546536686,0.10085387337910397,0.011217155718324111,1.3445891732221888
bist100,close,cnn1d,17,5,1411.1055090727211,104.47176449474337,0.18352746289115504,0.01806479379568839,2.1409257934519044
bist100,close,linear_regression,17,5,2541.5078392575087,0.0,0.2882573208567128,0.0,3.8559694171289687
bist100,close,dnfs,17,5,3659.5704231577183,1658.8768207900096,0.2581511585708284,0.03283131504105769,5.552291208217719
bist100,close,naive_persistence,18,5,689.9999730699458,0.0,0.0916338596298989,0.0,1.0
bist100,close,lstm_gru,18,5,703.798130481084,16.46030019967395,0.09577802216729794,0.0018107428901875768,1.0199973303618368
bist100,close,mlp,18,5,929.4682069756833,132.14178348944566,0.10807893662478334,0.010501985142011233,1.347055425002839
bist100,close,cnn1d,18,5,1485.246439883144,110.40871886231162,0.19499801945514894,0.019134781699903812,2.1525311563056877
bist100,close,linear_regression,18,5,3548.4345750045795,0.0,0.3480460452314312,0.0,5.142659005067631
bist100,close,dnfs,18,5,4377.115823943854,2187.2290865611353,0.281752385199402,0.037354703489189386,6.34364636924434
bist100,close,naive_persistence,19,5,723.9702005960701,0.0,0.0933147515838339,0.0,1.0
bist100,close,lstm_gru,19,5,743.1178972668641,21.58365144609257,0.0980403781899332,0.00174727013796033,1.0264481834404635
bist100,close,mlp,19,5,986.5561025246967,136.15372711847428,0.11254596557719823,0.010652005957681215,1.3627026384683105
bist100,close,cnn1d,19,5,1571.3825510947863,123.36292981515825,0.20557226147573834,0.02037355967758219,2.170507225022538
bist100,close,linear_regression,19,5,3346.5004627172893,0.0,0.3685125739587585,0.0,4.622428464544533
bist100,close,dnfs,19,5,5350.083943701848,2940.5221873851233,0.3061159566397653,0.043594034708871306,7.3899228715449
bist100,close,naive_persistence,20,5,744.8082921587538,0.0,0.0956597778489549,0.0,1.0
bist100,close,lstm_gru,20,5,779.0483134823223,20.20984681518392,0.10130197592165771,0.002639829244494432,1.0459715898494193
bist100,close,mlp,20,5,1040.0718049325767,134.52221124357476,0.11801676769109107,0.009899800241335716,1.3964288742248432
bist100,close,cnn1d,20,5,1638.4200566046989,121.49915591876972,0.21455312959029435,0.021095655301815206,2.1997876149524314
bist100,close,linear_regression,20,5,5609.479674290186,0.0,0.41663948812889406,0.0,7.531440953794513
bist100,close,dnfs,20,5,6742.747203548321,4079.9589385707523,0.33246604236598465,0.05254138131183842,9.052996958459108
bist100,indicators,naive_persistence,1,5,146.9388811494616,0.0,0.0205060815810273,0.0,1.0
bist100,indicators,lstm_gru,1,5,150.0537594996919,2.8788161147313427,0.02055197774519546,0.0003748546992962134,1.0211984624209978
bist100,indicators,mlp,1,5,160.45531457448809,7.253359534901578,0.021645567839191,0.0011616849545196934,1.0919867724545826
bist100,indicators,cnn1d,1,5,167.1786666335111,7.956110221806341,0.0223492867513789,0.0010841588911676386,1.137742885516205
bist100,indicators,naive_persistence,2,5,224.9830135517745,0.0,0.0280314947994574,0.0,1.0
bist100,indicators,lstm_gru,2,5,228.33701038261034,6.810267978212867,0.028065560011945878,0.0007320658161877881,1.014907778049048
bist100,indicators,mlp,2,5,251.30833787208257,17.701877721674617,0.03069177637748856,0.002645045252994936,1.117010275152395
bist100,indicators,cnn1d,2,5,265.15829673833673,15.699193014648003,0.03235363127360944,0.0024418698353660395,1.178570295385064
bist100,indicators,naive_persistence,3,5,249.37524289957565,0.0,0.0321524764022248,0.0,1.0
bist100,indicators,lstm_gru,3,5,256.84902698442295,9.136450156230307,0.03231998898296498,0.0009953877526918766,1.02997003230131
bist100,indicators,mlp,3,5,301.3161896000326,20.467360992279808,0.03663817727387936,0.003299573106532608,1.208284295171088
bist100,indicators,cnn1d,3,5,325.8011271325539,24.600371239190256,0.03987912731672784,0.004205508842720833,1.3064694126984981
bist100,indicators,naive_persistence,4,5,308.93260015257925,0.0,0.0393267510304069,0.0,1.0
bist100,indicators,lstm_gru,4,5,320.27036814684936,10.569479214333889,0.03966383966686872,0.0013488566554228753,1.0366998108605903
bist100,indicators,mlp,4,5,379.1008394119613,29.73657560897065,0.045575192395571,0.004688284539180209,1.2271312228775033
bist100,indicators,cnn1d,4,5,427.27160975460777,25.73377302769076,0.051209993686803956,0.00450556302005757,1.3830576946025825
bist100,indicators,naive_persistence,5,5,380.8861193904128,0.0,0.0459161329750177,0.0,1.0
bist100,indicators,lstm_gru,5,5,390.63815851975767,14.447701695017638,0.045972038697067764,0.0017297928870858164,1.0256035561100325
