num_rules,seed,fold,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
4,1,0,2.1940383717913785,2.1874573521557252,0.7432072252035141,4,0,0.5667943787112641,1.0
4,1,1,3.528393526069614,3.4712937349601516,0.3767842456698417,4,0,0.9095057377107058,0.65
4,1,2,3.0913020659071533,3.0855275968929745,0.5108036458492279,4,0,0.8141073168577034,1.0
4,1,3,2.0577180499011254,2.035933699846538,0.5694390013813972,2,2,0.5205226582986464,0.85
4,1,4,2.151261751441062,2.148532860442729,0.6545819014310836,3,1,0.5525915365625914,1.0
4,7,0,2.982501737608948,2.9187357785457695,0.5629508107900619,4,0,0.7882614892182704,1.0
4,7,1,3.669284361271822,3.6621515766782067,0.4026393204927444,4,0,0.9377493572672909,1.0
4,7,2,1.9083702482952194,1.906023722726052,0.8052742004394531,3,1,0.4661705499168809,1.0
4,7,3,2.054711613178374,2.0521089407398625,0.5502345561981201,2,2,0.5194679601083521,1.0
4,7,4,2.5583832564486384,2.537596438868978,0.6629049062728882,4,0,0.6776162010622282,1.0
4,42,0,2.4937471713858064,2.4459785266771172,0.6129355356097221,4,0,0.6591576024559661,0.95
4,42,1,2.689196191951183,2.5877341616687337,0.5718114152550697,4,0,0.7135875058742507,0.8
4,42,2,1.8689972133420343,1.8686982050850265,0.7130628287792206,2,2,0.451132209019699,1.0
4,42,3,2.873197582421522,2.8643729243194405,0.47558388113975525,3,1,0.7613286033580086,1.0
4,42,4,2.7458341007531057,2.206115536046238,0.48502018451690676,3,1,0.7286222313056929,0.55
4,123,0,2.692718430464895,2.676930752904993,0.5304219543933868,4,0,0.7145316897044611,0.9
4,123,1,2.996604487508917,2.908293585836699,0.446366149187088,3,1,0.7916643397962885,1.0
4,123,2,2.0290087366651615,2.0286383536032417,0.7668884068727493,3,1,0.5103875385887758,1.0
4,123,3,2.3348976045884786,2.2940573203974335,0.5270328253507615,3,1,0.6116796414360846,0.75
4,123,4,2.0919039056398345,1.9960573757847329,0.650801956653595,3,1,0.5324082905053797,0.8
4,2026,0,3.761441206785716,3.678818260833958,0.38815484046936033,4,0,0.9556427702469226,1.0
4,2026,1,1.9007561116749907,1.9003078546822885,0.6755892753601074,2,2,0.46328671495440504,1.0
4,2026,2,1.7584530477173956,1.755223262419293,0.7756561428308487,2,2,0.40715340710924874,1.0
4,2026,3,3.081022184724346,2.7275243640277234,0.4581463046371937,4,0,0.8117045352289712,0.5
4,2026,4,2.8075362151323207,2.7416384207690117,0.49693583548069,4,0,0.7446523162202983,0.65
8,1,0,3.3580426705335427,3.2454524533643614,0.6071959972381592,5,3,0.5825401875560122,1.0
