num_rules,fold,price_rmse_mean,price_rmse_std,improvement_vs_persistence_pct_mean,seeds_won_vs_persistence
16,0,39.782418557882366,4.375332627710001,0.7345029237344249,3
16,1,125.26866780257731,17.594248184225872,-22.786093169367682,0
16,2,41.397598035663066,7.755939003953512,2.6919308109426923,3
16,3,185.19004798563415,19.824528952458795,0.28712531633243454,3
16,4,76.55695462714007,11.07286985641057,-10.556583141592554,2
4,0,36.56212653691445,1.631224362879054,8.769808462712906,5
4,1,111.45823295304686,16.295165482202442,-9.24935353694509,1
4,2,34.612972869694815,5.044605710838046,18.639686390943055,5
4,3,178.45326287372566,7.420138670832529,3.9144487980275064,4
4,4,75.3755554101792,18.80006521232507,-8.850513962254473,2
8,0,36.07756196431219,1.5694176563666782,9.978898933040284,5
8,1,109.54732556616086,14.330373776381665,-7.376316515317318,2
8,2,38.92736444611344,8.669235024841209,8.498394771435082,4
8,3,175.07826717467418,8.213635660998595,5.731665904767185,5
8,4,71.65980505807033,6.645590997413744,-3.484565633496197,2
