num_rules,horizon_step,price_rmse_mean,price_rmse_std,persistence_price_rmse,improvement_vs_persistence_pct_mean,seeds_won_vs_persistence
16,1,27.90686897306919,1.0152355016438752,27.754033354992316,-0.5506789450095708,2
16,2,46.080585257104275,1.8774438668396112,43.584491523255416,-5.727022724395024,1
16,3,54.298498643406184,2.990457305485148,51.22425737877111,-6.001534081603181,1
16,4,60.04330935293368,3.5347496603089055,56.32903423768575,-6.593890993364437,1
16,5,97.86656016649187,3.166798390878641,92.17911956274942,-6.169987987215276,0
16,6,112.67679939691433,3.7141917194191936,107.40401603448495,-4.909298140896739,1
16,7,105.76248973890367,3.90328221103043,99.48074340343514,-6.314534974867934,1
16,8,91.34871753409098,4.863635945140096,82.89921603154957,-10.192498683372014,0
16,9,94.6652831421411,6.014770607847414,84.90129828759552,-11.500395225372127,0
16,10,81.26018528685043,6.219085430785871,72.50754953007278,-12.07134403728189,1
16,11,92.88782613071493,6.098926691197171,85.40165691117862,-8.765836039132406,1
16,12,102.52901663670468,6.676554008469598,96.85971216268328,-5.853108942239436,1
16,13,113.82106172989776,7.363551693779625,107.62501510291597,-5.757069228800422,1
16,14,98.45391480582502,7.82405372505778,92.96627599200448,-5.902827401941431,1
16,15,119.82101078052408,8.281714028847757,114.10496636728968,-5.009461546866572,1
16,16,130.09637568731512,8.766498251395156,124.21424786059978,-4.735469503721161,1
16,17,141.92576852872116,8.198302409951966,134.1555368147593,-5.791957528142078,1
16,18,165.706919578475,8.072548986078113,157.60469521284404,-5.140852152081488,1
16,19,162.53762996751752,8.722220445393159,155.1690157313927,-4.748766499157507,1
16,20,157.9023268576722,8.179218451898606,149.8426607721854,-5.378752648913756,1
4,1,27.46787038153179,0.2960084678419509,27.754033354992316,1.0310680606321814,5
4,2,44.202499144634864,0.9873144387760153,43.584491523255416,-1.4179530373772873,1
4,3,51.749258182510175,0.7837608425980133,51.22425737877111,-1.0249066176928943,1
4,4,57.190090611049094,0.9725831948643997,56.32903423768575,-1.528619094959157,1
4,5,94.74166263563544,3.681850034615342,92.17911956274942,-2.779960456382536,1
4,6,109.11642442320326,3.470375138637389,107.40401603448495,-1.5943616001924,2
4,7,101.91993535006736,3.7010218482445296,99.48074340343514,-2.4519237223030177,1
4,8,86.37396483654723,5.460541582914223,82.89921603154957,-4.191533975032103,1
4,9,88.71873037331149,6.455471219152344,84.90129828759552,-4.49631768030773,1
4,10,74.76143658253382,6.981651016655935,72.50754953007278,-3.108486036376422,2
4,11,86.36558091519845,6.535906224819104,85.40165691117862,-1.128694733665823,2
4,12,95.6197202390271,6.154930953398133,96.85971216268328,1.2801936904102285,2
4,13,106.84016951729625,7.14884804954763,107.62501510291597,0.7292408599146112,2
4,14,91.76660445304533,6.480490623592708,92.96627599200448,1.2904373399471498,2
4,15,111.18517936429703,8.13273049496673,114.10496636728968,2.5588605789464025,2
4,16,121.00098655148372,8.397984589579796,124.21424786059978,2.5868701573769313,3
4,17,132.7660606290503,9.469456818640683,134.1555368147593,1.0357203427448385,3
4,18,156.33043482949557,11.497171333443102,157.60469521284404,0.8085167650796009,2
4,19,152.02627281308975,11.641234836757805,155.1690157313927,2.0253675667719846,3
4,20,148.08949923362022,12.471364641469087,149.8426607721854,1.1700016067057302,2
8,1,27.591169344102532,0.4557963186930566,27.754033354992316,0.5868120456823286,3
8,2,43.83991725671691,0.9502445831745654,43.584491523255416,-0.5860472946557337,1
8,3,51.22328684035976,1.6755257109629065,51.22425737877111,0.0018946851765353934,2
8,4,56.52052319285433,2.139166843423177,56.32903423768575,-0.33994716536516506,1
8,5,93.23164536205941,1.8009020185724909,92.17911956274942,-1.1418267003445304,2
8,6,107.37753905009197,2.070662095084726,107.40401603448495,0.024651763845094356,2
8,7,99.5052883124229,2.2575083857745066,99.48074340343514,-0.02467302529920499,2
8,8,83.65189843501672,3.1286167646726453,82.89921603154957,-0.9079487593473669,2
8,9,85.40460393617857,3.7244812203986326,84.90129828759552,-0.5928126645109207,2
8,10,71.3849478032146,4.116192216076009,72.50754953007278,1.548254952944697,2
8,11,82.98254999410756,4.3199206768271114,85.40165691117862,2.8326229309427027,3
8,12,92.74228535938528,5.065603644310836,96.85971216268328,4.250917859824395,3
8,13,104.6536372525928,5.8159044970918,107.62501510291597,2.7608617266922697,3
8,14,89.198612036242,5.926341078649867,92.96627599200448,4.052721178254492,3
8,15,108.71428524093103,7.477428554731733,114.10496636728968,4.724317703233623,3
8,16,118.86204750356153,8.391936507342926,124.21424786059978,4.30884576384894,3
8,17,130.8604010325176,9.613099627735709,134.1555368147593,2.456205580833851,3
8,18,154.56776993270765,10.518800501836338,157.60469521284404,1.9269256388809055,3
8,19,149.84474959997684,11.405136493603537,155.1690157313927,3.431268869187458,3
8,20,145.71782120663164,12.109806552425564,149.8426607721854,2.752780512770663,3
