usage_regularization,seeds,price_rmse_mean,price_rmse_std,price_mae_mean,return_rmse_mean,return_mae_mean,improvement_vs_persistence_pct_mean,training_time_seconds_mean,inference_time_seconds_mean,seeds_won_vs_persistence,fold_win_rate,horizon_step_win_rate,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
0,5,103.89280172376905,7.970950939678337,79.65047508337636,0.05089179413858108,0.0387784083231422,-0.8024209249061295,72.4876661169983,0.8184094415570143,3,0.68,0.5,3.6318336810572176,3.511120047253129,0.5109896261841059,5.08,2.92,0.5988723975607065,0.87
1e-4,5,104.41241367807459,8.401655986105325,80.71091672442294,0.05117157188788246,0.03932416533494644,-1.3065765744455835,53.07280162497191,0.6078318344196305,3,0.64,0.53,3.686063956378181,3.5662541591814065,0.499061518266797,5.16,2.84,0.6047754423643322,0.8640000000000001
3e-4,5,104.0332903833197,8.19698358719451,80.09009803384754,0.05098647891336762,0.03901703697630232,-0.9387306283719574,52.07379093338386,0.6261181672278326,3,0.64,0.51,3.712987509111301,3.5991746357196464,0.49261644603312016,5.2,2.8,0.6106160643189765,0.892
1e-3,5,100.78494917124416,5.760402067094623,78.23396221901358,0.0492971923479418,0.03806004411367088,2.2129858787827836,40.92104344960535,0.49653304275125265,3,0.72,0.49,3.789339640917296,3.6593197543206397,0.48376610815525056,5.2,2.8,0.6194494436583955,0.868
3e-3,5,103.3564155434849,9.414898481335415,80.48000737293441,0.05059153728860174,0.03916741931476532,-0.28199001317593914,51.48266586640966,0.6237185344682075,3,0.56,0.53,3.840209675935776,3.6717013326018497,0.4561806343868375,5.28,2.72,0.6287365824430278,0.778
