usage_regularization,effective_rules_accuracy_correlation,entropy_accuracy_correlation
0,0.14338370064693978,0.1306400852421558
1e-3,0.21123977405209904,0.21898142236641915
1e-4,0.3101161356723599,0.2798191546167627
3e-3,0.0009443843301210787,0.04169690594707098
3e-4,0.2171453503701013,0.19374958081383745
