num_rules,seed,price_rmse,price_rmse_delta_vs_8
16,1,109.69949620328931,15.20513914869612
16,7,117.08338195516164,11.481578752027701
16,42,107.42895418318948,6.39570804248855
16,123,110.66702644996748,3.389612185499516
16,2026,101.67533816715812,6.157412973833274
4,1,101.07361024594496,6.579253191351768
4,7,107.12155263611776,1.519749432983815
4,42,106.42110826949664,5.387862128795717
4,123,107.37871874856988,0.10130448410191661
4,2026,92.19542627426024,-3.3224989190646
8,1,94.4943570545932,0.0
8,7,105.60180320313394,0.0
8,42,101.03324614070092,0.0
8,123,107.27741426446796,0.0
8,2026,95.51792519332484,0.0
