usage_regularization,seed,fold,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
0,1,0,3.357386557172535,3.2500319269756957,0.607910992205143,5,3,0.5824462177378417,1.0
0,1,1,3.6832941658891447,3.625612257034038,0.49345864802598954,5,3,0.6269988741739785,0.95
0,1,2,4.036572796830219,4.027992502658883,0.37034316211938856,5,3,0.6710436366508863,0.85
0,1,3,3.250813853221717,3.089650299215177,0.5010291665792466,5,3,0.5669336491259361,0.8
0,1,4,3.0069129971977837,2.542153558944471,0.6353787422180176,6,2,0.5294277084008375,0.75
0,7,0,3.8919795015403715,3.831234914698013,0.45543248057365415,4,4,0.6535013705617775,1.0
0,7,1,3.6786765581588563,3.6282153285238357,0.45862494558095934,5,3,0.6263956117327498,0.95
0,7,2,3.1117033294756227,3.077379418986991,0.6296139031648635,5,3,0.5459015066658005,1.0
0,7,3,2.5309037038381677,2.5056153411614344,0.7081870764493943,4,4,0.4465508722131388,1.0
0,7,4,4.276851327797279,4.015920394288087,0.2994291335344314,5,3,0.6988496856735841,0.4
0,42,0,4.136352032411313,4.0237964809940845,0.40525361746549604,5,3,0.6827863247631955,0.85
0,42,1,5.0363322993423125,4.800585567261154,0.3677891448140144,7,1,0.7774578252761364,0.65
0,42,2,1.9733850022336747,1.9720944350086334,0.8053338348865509,4,4,0.3268908165123317,1.0
0,42,3,1.7778410662153745,1.6787604666958913,0.8322116807103157,3,5,0.27670878574024677,1.0
0,42,4,1.4780886307772139,1.4713808234207764,0.8820536285638809,2,6,0.18791092684854985,1.0
0,123,0,4.786165353022337,4.7099402144706275,0.31611123979091643,5,3,0.7529567467136778,0.5
0,123,1,2.8475654705624502,2.806420191745544,0.6336954802274704,6,2,0.5032430041410887,1.0
0,123,2,5.504650956602856,5.428624865572191,0.29469744414091104,6,2,0.8202170290353644,1.0
0,123,3,4.316058203101268,4.113039374269266,0.39160268008708954,5,3,0.7032381066842834,1.0
0,123,4,3.510821540985908,3.278364437196217,0.5494023427367211,6,2,0.6039362214227364,0.8
0,2026,0,4.670002115930407,4.599184419384286,0.3364363953471184,6,2,0.7411410678685061,0.65
0,2026,1,4.1544813760999695,4.084080502758277,0.48601375594735147,6,2,0.6848894632240974,0.95
0,2026,2,4.074357257718157,3.9573947654422312,0.4413155421614647,5,3,0.6755241625837374,1.0
0,2026,3,3.2917543140747356,3.213827994841867,0.5112192139029503,6,2,0.5729522205576386,1.0
0,2026,4,4.412891616230761,4.046700699780557,0.3621964033693075,6,2,0.7139081047095434,0.65
1e-4,1,0,3.358524546779987,3.250545858211962,0.6076961427927017,5,3,0.5826091911059674,1.0
1e-4,1,1,3.6845291856409363,3.626725718994975,0.49287413358688353,5,3,0.6271600938271458,0.95
1e-4,1,2,4.039686350464755,4.031042340854526,0.3693797215819359,5,3,0.671414427840941,0.85
1e-4,1,3,3.2621594049349985,3.101000618821671,0.49680052548646925,5,3,0.5686090936170828,0.75
1e-4,1,4,2.7527556977565824,2.4560953328971658,0.6882958129048348,6,2,0.4869588596527957,0.8
