usage_regularization,fold,price_rmse_mean,price_rmse_std,improvement_vs_persistence_pct_mean,seeds_won_vs_persistence
0,0,36.00806297971385,1.9988379774541436,10.152313509190613,5
0,1,109.02756961454823,16.898576492921226,-6.8668610878785845,2
0,2,36.43931840563545,10.594424145506087,14.34672819512365,4
0,3,182.73793754184362,17.55119210921093,1.6074283458514096,4
0,4,75.14169101438759,11.401631025857608,-8.51278829587815,2
1e-3,0,36.07756196431219,1.5694176563666782,9.978898933040284,5
1e-3,1,109.54732556616086,14.330373776381665,-7.376316515317318,2
1e-3,2,38.92736444611344,8.669235024841209,8.498394771435082,4
1e-3,3,175.07826717467418,8.213635660998595,5.731665904767185,5
1e-3,4,71.65980505807033,6.645590997413744,-3.484565633496197,2
1e-4,0,35.86481085552248,1.8732632605647832,10.509757672480927,5
1e-4,1,109.34968249414399,16.950646940935854,-7.182590333977311,2
1e-4,2,43.18340299315649,9.151870871037916,-1.5057338026474643,3
1e-4,3,182.67864639782374,17.142002016798404,1.639352795776304,4
1e-4,4,75.31288407601332,11.478172561287868,-8.760009727857362,2
3e-3,0,37.829864701464714,4.427340312351825,5.6065352473467405,4
3e-3,1,113.26429973439812,16.687735772596078,-11.019627684304828,1
3e-3,2,42.582359879267564,11.660251386700642,-0.09293818920327652,3
3e-3,3,178.07653204027886,17.81360112216243,4.117294009169031,4
3e-3,4,72.99454794036538,8.185148803762521,-5.412079771928083,2
3e-4,0,35.69298944025658,1.7753843480328022,10.938488222633403,5
3e-4,1,109.89547655127406,16.934924820664605,-7.717567843722027,2
3e-4,2,39.862395063369185,5.125113400450886,6.300537206862699,4
3e-4,3,182.92766314068407,17.0771097003445,1.5052733700995202,3
3e-4,4,73.6337664424441,9.52902737177553,-6.335180929946938,2
