market,feature_set,model,fold,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std
bist100,close,cnn1d,0,5,290.71034150039475,40.09364068636657,247.72728788726823,35.12179850967516,0.10522334175137504,0.01575839126512385,0.09052223330225759,0.013800730459945273
bist100,close,mlp,0,5,292.0645700340318,25.97014293274826,248.62008811483483,22.961936569488536,0.10566686746292156,0.01009473011670662,0.09080997243151065,0.008926466502418646
bist100,close,dnfs,0,5,310.8726788761519,51.98346749377827,265.42446845196463,45.46148205150548,0.11317459183496922,0.02042224268359754,0.09749686918609587,0.01785755061769946
bist100,close,naive_persistence,0,5,322.98916602064327,0.0,275.884912109375,0.0,0.11772330588229932,0.0,0.1014411685703562,0.0
bist100,close,lstm_gru,0,5,326.96232684664864,9.029847191517154,279.3719341551021,7.944243216943702,0.11929849623706235,0.0035716399551194784,0.10282193915594373,0.003138982723316499
bist100,close,linear_regression,0,5,365.2381319087885,0.0,314.26782930211783,0.0,0.134561685304262,0.0,0.1167337223220543,0.0
bist100,close,cnn1d,1,5,194.35173433079908,40.49525837514913,150.5217952022068,34.3596211357844,0.05846240402962912,0.01272117213747618,0.04567838587221204,0.010849051475630445
bist100,close,dnfs,1,5,194.89771742081032,46.92695795308853,150.81176410061283,42.679861490082004,0.0586770551938615,0.014832727276023838,0.045826105973464495,0.013500644182239441
bist100,close,mlp,1,5,215.66457517430135,97.93075728036567,175.08634717400273,90.76385254017366,0.06573214991309625,0.03153930695141007,0.0538466443194063,0.029154791470784112
bist100,close,naive_persistence,1,5,238.20255826946465,0.0,191.74498291015624,0.0,0.0723539412299009,0.0,0.0587349183410029,0.0
bist100,close,linear_regression,1,5,247.595808648159,0.0,212.29240309922125,0.0,0.0756214743161548,0.0,0.0653966206872517,0.0
bist100,close,lstm_gru,1,5,255.08136425660496,21.47158211195736,208.7307699646908,21.654547963665408,0.07784779521425482,0.006989239046529736,0.06422211956092735,0.00699494290868628
bist100,close,mlp,2,5,235.7124015124592,51.959432622144625,189.31844174463194,40.12418099637473,0.06684960402432241,0.015588001479326574,0.054522192305135345,0.012076877050538695
bist100,close,cnn1d,2,5,246.68833816229557,60.88039089785687,197.09536027930494,47.23070465929636,0.07016741896487162,0.01815018826962352,0.05688223522345624,0.014140010885764337
bist100,close,dnfs,2,5,288.05339773828615,52.15453308414237,229.16811489746064,40.296863313125215,0.0825393844740204,0.01576621242407233,0.06651146392054762,0.012202338532099651
bist100,close,lstm_gru,2,5,308.2590609520065,48.28929578842957,244.52203479737045,37.537807290227875,0.0886883416844639,0.014862992563843384,0.07118841889439412,0.011543377215410123
bist100,close,linear_regression,2,5,315.59358803895026,0.0,284.92843679286614,0.0,0.0913746043781663,0.0,0.0831589384241789,0.0
bist100,close,naive_persistence,2,5,315.8618013255602,0.0,250.6849975585937,0.0,0.090891802596083,0.0,0.0729906939176749,0.0
bist100,close,mlp,3,5,176.53087024970188,39.642815731920706,129.8094181941272,26.108112573500442,0.04050583642910152,0.00924437500230998,0.0302459877853195,0.006168199299049562
bist100,close,dnfs,3,5,350.7611219003328,28.15263540534951,265.65102370210525,24.14611800592926,0.08299490895825576,0.007125201991560059,0.06360775929383926,0.006107750387710494
bist100,close,naive_persistence,3,5,407.1744358292665,0.0,313.69495849609376,0.0,0.0974060139611384,0.0,0.0758584566836663,0.0
bist100,close,lstm_gru,3,5,419.7052577931295,76.66282236261972,326.51235911252036,67.0799570190724,0.10087257427468661,0.019828513636578084,0.07933234458597942,0.017296539305580873
bist100,close,cnn1d,3,5,444.8539577506416,139.12835323613865,349.4656065125193,119.85272036678289,0.1079453757374785,0.03603394660008447,0.08567084946418474,0.030985088846536914
bist100,close,linear_regression,3,5,492.8527159523198,0.0,388.7082054809222,0.0,0.12006193866912249,0.0,0.0955727804542794,0.0
bist100,close,cnn1d,4,5,168.6846512360791,75.49077934779605,139.21662752337846,75.09510087331627,0.0345378345251974,0.015633266375207493,0.02859196033599466,0.01573578370713639
bist100,close,naive_persistence,4,5,300.3296893087656,0.0,271.9400146484375,0.0,0.0618747985436679,0.0,0.0564162587672945,0.0
bist100,close,dnfs,4,5,316.52545433768586,130.7381874657086,283.9664606055658,114.83690481235183,0.06581647582634373,0.02863084810633514,0.05935798473142436,0.025095186627788032
bist100,close,mlp,4,5,323.21117813948064,240.15662800676182,273.5560796733706,213.81110572013293,0.06496379058462076,0.04840562644059284,0.05538596729233084,0.04375868397889979
bist100,close,lstm_gru,4,5,334.1302958827963,44.779457270132454,301.4739640105383,39.765376765616644,0.06920136740193994,0.009614188458847256,0.06281426028441509,0.008542176822775286
bist100,close,linear_regression,4,5,345.91502867036985,0.0,298.6714832643633,0.0,0.0718124492908466,0.0,0.06228577997295269,0.0
bist100,close,dnfs,5,5,310.62746439592513,24.61867363137102,279.9101465013113,24.061934342621004,0.059083488825170186,0.004591511699947858,0.053165655605793005,0.0047303649026857785
bist100,close,mlp,5,5,345.306467033752,69.07764048462326,260.19158658969553,23.61521380270147,0.06502980673967093,0.011811521884412122,0.048706845867557705,0.003823184375331711
bist100,close,naive_persistence,5,5,356.9954343729059,0.0,323.7550048828125,0.0,0.0678587427197045,0.0,0.06178508792561009,0.0
