model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir
cnn1d,19,0.034634135331093,0.0384239148447549,92.13635518745934,-0.4416307637752961,310.3353080293616,345.692146922572,3.39075662209434,-0.4583818481708523,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,20,0.1631065172237386,0.1954606740040515,507.89597214128605,-154.20214769323624,1308.9086555916133,1546.4028021831057,14.558875954259944,-119.81217948729328,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,21,0.2775154355028586,0.3201561954574869,1225.4787468687657,-72.48591845936187,2229.2478471364143,2543.7082747214217,23.2551959363238,-52.22825851047881,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,22,0.0149598997386798,0.0170639551565245,43.641904442210055,0.5942038465737709,155.4790919594593,178.08597484044694,1.4894761070324507,0.596808724268405,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,23,0.0683991744277887,0.090665133060058,1138.7107660499166,-15.887913958838386,681.1929987080712,899.6781605931536,6.447522707695574,-14.358222127924629,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,24,0.2599452252970979,0.2980822141151988,4958.66913298639,-193.912895366352,2425.140035195088,2743.092346545773,22.05828963627612,-140.50961244069023,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,25,0.2781415711212479,0.3219284595185092,407.36612444948463,-92.21153277630218,2322.1984838219573,2613.398089040507,23.287997137166943,-57.282841007660366,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,26,0.2778488003131848,0.3115363852821352,3141.424408540452,-294.43701354469107,2299.3149335206226,2532.071647177704,23.50288984881328,-203.5948362182307,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,27,0.0911801234085408,0.1067657952837148,663.9641090405055,-4.8348305503587365,773.9914850582405,887.6300990962081,8.574946935713381,-3.626808148081695,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,28,0.1593144665576083,0.1807715443674899,930.7889848596636,-42.66532167675357,1317.3755832462098,1487.6391509202542,14.417157572921091,-35.18512960387516,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
