model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2
cnn1d,1,38,0.0084606025633086,0.0108028686386872,105.3009819335772,0.0008540801403964,22.447247827680556,28.7665458962864,0.8447018078260615,0.9963827892377792
cnn1d,2,37,0.0139239639475986,0.0179748053989081,106.57607015347814,-0.0092654424009406,35.87356423439872,46.30870366791323,1.3849898003069,0.9900451908242164
cnn1d,3,37,0.0157867498185091,0.0198256092197538,106.99534284484062,-0.0229260210639257,40.70377354561004,51.16116846685957,1.5712965963842978,0.9875305121857516
cnn1d,4,37,0.0172082796532124,0.021943447501172,116.6293034567106,-0.0816979856190434,43.83503235534788,56.4829440190446,1.7101369167566431,0.9852947622356184
cnn1d,5,37,0.0209331746230974,0.0271016959848667,94.40461502066192,-0.0719856612948346,54.13200902221048,68.81713152442131,2.0720125749469966,0.978708856663446
cnn1d,6,37,0.0238378819546557,0.0318740495839525,145.04079954605166,-0.0266643783398834,62.47290022988549,81.77811041383157,2.362937442605197,0.968831008315418
cnn1d,7,37,0.024960226198458,0.0309349234524404,260.84477865238387,-0.0122147520865514,64.97876611962616,79.81523648454284,2.4846585849921583,0.9716438673754322
cnn1d,8,37,0.0244427547941761,0.0313004371133696,95.7681592084724,0.0068648031613822,63.555052499523654,80.2220474436983,2.432938917030109,0.971294170482812
cnn1d,9,37,0.0236957510019361,0.0299831926806875,129.9573176317496,-0.0447273631247808,61.174548735472904,77.10827958036853,2.359036151290617,0.9728811750414708
cnn1d,10,37,0.0283461694038097,0.0334652011073131,123.59752190881244,-0.0736710238653628,73.47577413491348,87.756611395594,2.8199481216058917,0.9651963664508182
cnn1d,11,37,0.0306591814800256,0.0398296856215148,137.36322707446757,-0.0944987590800185,79.57733073537435,104.02424000524267,3.0495337074002253,0.949999989940435
cnn1d,12,37,0.0333382255875484,0.0432608087853078,99.2787774323998,-0.0381411057821683,85.68649582407795,111.60810894401844,3.3223689560869913,0.9444274104701852
cnn1d,13,37,0.0335654062828285,0.0435822860486483,128.04585156542564,-0.0639773407127135,86.57769947075423,112.93969624127774,3.326914580546007,0.9409512645421882
cnn1d,14,37,0.033745976293791,0.0455014281618335,166.39466494125932,-0.1604471767617097,87.44321380930984,118.13226609578076,3.339774665504911,0.9332391906137738
cnn1d,15,37,0.0367855241442911,0.0465375491867617,174.02342291143796,-0.2243397757145551,95.43317934791888,121.78460242844308,3.6155214040842902,0.9302240456743364
cnn1d,16,37,0.0391068050340186,0.0491388491380129,144.72338833061477,-0.2076904385530242,102.97280576535476,130.6545989673167,3.853885072081014,0.9199262031411374
cnn1d,17,37,0.0392916941197398,0.0505632237265613,108.24740177848852,-0.2326640422437849,102.91190206202428,133.72047027053202,3.851213610410953,0.9195936767465096
cnn1d,18,37,0.0406754855360979,0.0523847150506681,162.34972370039472,-0.1829404156336835,105.45009742611984,134.13129504801017,3.993836344761175,0.91895308041761
cnn1d,19,37,0.0429983883648968,0.0535882481121208,119.96645457808172,-0.1654978261551041,112.2999900046742,139.6159341041423,4.232041534201822,0.915350669118901
cnn1d,20,37,0.0429547352610461,0.0530441639963103,125.91731006261568,-0.1877094912989783,112.88490033325512,140.43452638241942,4.218839675791249,0.9144384675964684
cnn_lstm,1,38,0.0083084393716115,0.0107125352743508,102.70297582211708,0.0174938922344624,22.10073945231687,28.659773896677468,0.8292759104462558,0.9964095912092272
cnn_lstm,2,37,0.0142861155868019,0.0182666157519864,115.42803265452848,-0.0423010975652837,36.723821145872726,46.95547799081223,1.4212577203032764,0.9897651796610688
cnn_lstm,3,37,0.0159945685691785,0.0200163721417055,104.64428841290258,-0.0427060096671538,41.18921812589017,51.48825969994614,1.592208394271965,0.9873705589079932
cnn_lstm,4,37,0.0174287579263762,0.0221500575126773,102.82483803076352,-0.102163482128432,44.51346209038552,56.89567537807613,1.7325608521512916,0.9850790692447234
cnn_lstm,5,37,0.0223146888858489,0.0281520380541447,107.18667118229838,-0.1566866405464793,57.712555406096946,71.27706913108861,2.209133651746348,0.9771595046498518
cnn_lstm,6,37,0.0247566888121885,0.0327392073709711,115.28183678085946,-0.0831542983929238,64.79469794887413,83.48731536679601,2.4532510636086267,0.96751449650421
cnn_lstm,7,37,0.025225818510063,0.0318115252774435,139.43874477503348,-0.0703937307009332,65.6866229823435,81.73237548823249,2.508979491623838,0.9702652951166156
cnn_lstm,8,37,0.0254907115982598,0.0325253806065558,102.28826070587084,-0.0723889816171474,65.99104154199621,82.73174173271215,2.537149360615519,0.9694699895860264
cnn_lstm,9,37,0.0238120710272624,0.0305054843801592,111.57418999421698,-0.0814415934806704,61.099690070355585,77.14950831815376,2.369073148930556,0.9728521671621876
cnn_lstm,10,37,0.0283163942288639,0.0332483694908662,106.56965190706391,-0.0598027903154252,73.05255581108334,85.96391982867956,2.8164396571747052,0.9666037796547632
cnn_lstm,11,37,0.0302771851219029,0.0390567572410442,99.12872624556287,-0.052431603864961,78.13978714847876,100.53959749635489,3.008170476721432,0.9532937205896946
cnn_lstm,12,37,0.0341904764108107,0.0431238124227104,101.20111346180984,-0.0315764404897684,88.01343939212653,110.1486228024412,3.402123625370849,0.9458713397491376
cnn_lstm,13,37,0.0335648119163455,0.0432585068818329,111.62982889293708,-0.0482271779279863,86.12985737615871,110.38107672117862,3.321386522650006,0.9435964260976898
cnn_lstm,14,37,0.032282585491891,0.044369529881791,117.49954072278426,-0.1034304749693424,82.89434211449851,113.53880032656669,3.1872155322833717,0.9383301168614784
cnn_lstm,15,37,0.0357184611907327,0.0454882538638495,147.79048163091306,-0.1697511331031138,91.84854239810096,117.08032566094698,3.5061380548142376,0.9355105217670918
cnn_lstm,16,37,0.0386204547104701,0.0478201941331972,117.1899233267842,-0.1437427022757673,101.26258060526382,125.49649649357396,3.803161486273096,0.9261238553689468
cnn_lstm,17,37,0.0390915764647361,0.0494643253740298,106.98680044674023,-0.1796669103381734,102.076842080492,129.42947005134272,3.831236715391794,0.9246712503271584
cnn_lstm,18,37,0.039658836879097,0.0514297340837325,98.23881939142755,-0.1402032006000806,102.18863275461162,130.57760285105448,3.891057127253468,0.9231907259463518
cnn_lstm,19,37,0.0424959175616203,0.0524487233519535,121.10647055238252,-0.1164574909151068,111.2236025313871,135.48830299047304,4.183024577555003,0.920281858861823
cnn_lstm,20,37,0.0424236260896249,0.0525350724336023,117.8214364142448,-0.1650208011024427,111.4925919935488,138.751701637379,4.166056302602978,0.9164767466756708
dnfs,1,38,0.0083537096109123,0.0106369996097351,114.49714610385172,0.0313006339875343,22.1947957824349,28.44708553000915,0.8343130462979039,0.9964626833689144
dnfs,2,37,0.0140723682376733,0.0179024742732962,137.60296248777885,-0.0011591598333486,36.14918609517327,45.89619273189479,1.4009345217271845,0.990221752784732
dnfs,3,37,0.0156277995518342,0.0194890987318852,124.39544361793178,0.0115045956032625,40.28415288235464,50.19115954791377,1.5570223363176807,0.987998869343536
dnfs,4,37,0.0176253537374803,0.0221333510464117,176.90059907800142,-0.100501516870564,45.10285333259876,57.12971118214962,1.7546448952397324,0.9849560646718584
dnfs,5,37,0.0220181895624807,0.0275261800665541,111.08461097114642,-0.1058288879000683,56.94765292377476,69.75382185842055,2.1842780435997895,0.9781253120090492
dnfs,6,37,0.0252093950951125,0.03250460401818,194.63516906178936,-0.06768653414984,66.31898429441985,83.73130776649518,2.504110043606084,0.9673243407150156
dnfs,7,37,0.0255650520469038,0.0317703151324931,112.37227882183396,-0.0676222503253076,66.82011637186052,81.68503586532658,2.551677228581677,0.9702997299915702
dnfs,8,37,0.026357926102847,0.0323975432630963,132.66007200490043,-0.0639757397152824,68.52741546564587,83.03041648228219,2.631986460861642,0.9692491552914912
dnfs,9,37,0.0246462232172934,0.0307208431322625,160.36003312991517,-0.0967647400147175,63.74125692306434,79.02242964626998,2.4584450674689178,0.9715180579716528
dnfs,10,37,0.0288402637849354,0.0343851442272877,206.45802592546812,-0.1335118240618129,75.14138112886043,90.3453471247454,2.8780563293722863,0.963112733053086
dnfs,11,37,0.0311430254939483,0.0417597106207699,130.94514299273905,-0.2031408637172478,81.0849471861618,109.45037331995653,3.112662101453724,0.9446477240042744
dnfs,12,37,0.0332977750655894,0.0450992640990905,96.59979963709598,-0.1282517847490576,85.00430306482644,115.631567863085,3.3351693479361004,0.9403484183229168
dnfs,13,37,0.0348315038558251,0.0457683930752695,196.25864811111228,-0.1733935446233261,90.97820572650558,119.63465190948592,3.466558314941828,0.933743063534439
dnfs,14,37,0.0354105700558838,0.0480794713679441,204.15596107743409,-0.2956708493621698,93.54862674551951,126.7839804716998,3.524178889575711,0.9231023109305208
dnfs,15,37,0.0390167835502672,0.0487300613239149,216.6495651508031,-0.3424213734849144,103.15069778329227,130.04100629452049,3.857344448084504,0.9204424019476768
dnfs,16,37,0.0415869107351026,0.0517563978642069,373.73101098270894,-0.3397808062389567,111.2741745948264,141.23480849998006,4.131498245706516,0.906432611082559
dnfs,17,37,0.0428930079991929,0.052698088098466,139.84100704273212,-0.338951775348749,115.24843314132572,143.42703960101292,4.24128575043599,0.9074968585183498
dnfs,18,37,0.0439862765756609,0.0548207490493742,248.53579016316232,-0.2955185285733515,116.3910886168121,144.5497882892311,4.352539687400683,0.9058736545148572
dnfs,19,37,0.0448810804660947,0.0559516678177595,130.75149340036518,-0.2705694887656007,118.48263759682663,149.31512538769428,4.4537645312944925,0.903180872751994
dnfs,20,37,0.0464788685951685,0.0565679612636047,164.53712026390926,-0.3507533787366774,124.5795328968741,155.04024341161443,4.607741452171677,0.8957155273342021
gru,1,38,0.0084985884409605,0.0109064983926768,107.85168424710744,-0.0184070762367729,22.562932570419633,29.06309677234332,0.8483343892835459,0.9963078260409246
gru,2,37,0.0144751345368629,0.0185534080613571,131.72341678864333,-0.0752870155427771,37.411074235641465,47.867063654202624,1.439969120505611,0.9893639280675312
gru,3,37,0.0163261489962197,0.0205133642962725,104.35433003750332,-0.0951281146377882,41.96423165408286,52.96157497566645,1.6251498388515833,0.9866374455137072
gru,4,37,0.0177579382934176,0.0227989486040826,172.47090728383455,-0.1676856421722821,45.428614944668496,58.60639686208543,1.7643064486103082,0.9841683039225224
gru,5,37,0.0219576552477546,0.0277804089089497,111.3804091238068,-0.1263498506513469,56.83132990470267,70.88772684760393,2.173366456037942,0.9774083499766042
