model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2
cnn1d,0,0.0149482638894771,0.0168629511595934,100.92687355949396,-0.6853048275454714,32.126678862654195,36.2865745854992,1.4851215179496102,-0.6920458064835988
cnn1d,1,0.0474535301731298,0.0517159322301377,103.5504601854743,-5.764005428732053,97.33215076414156,105.68013935758718,4.882011211177887,-6.069528624972904
cnn1d,2,0.0166620699597587,0.0208826238149789,91.11854849445302,-0.189747920345874,31.96171371777249,39.906982387466435,1.6844784480947532,-0.1821413171956856
cnn1d,3,0.0781693937591633,0.0840498696509902,92.3950967558963,-4.8390308016296855,157.58720543776852,170.22747984130584,7.474912457331313,-4.6039628032563265
cnn1d,4,0.0284254249835289,0.0316393198868322,100.15345625525455,-1.4617111588729794,62.64205466986211,69.95835427302066,2.796250848039671,-1.4655459519645977
cnn1d,5,0.0130461683605598,0.0168190439057338,144.28640010314285,-1.028700456211927,30.221676989769456,39.037780078063605,1.290857398802,-1.0268623209626888
cnn1d,6,0.0225159143689253,0.0260375386474506,98.94457889723456,-0.7363462172642055,50.61123981807375,58.42712049692949,2.27969662398281,-0.7205107159155679
cnn1d,7,0.0222260822426843,0.0275816571442183,108.19961730542563,-0.4772746001743397,52.94520978300354,65.96216779363151,2.1909136236136844,-0.4832333266520145
cnn1d,8,0.015316538090297,0.0173756153974859,408.2716696085905,-0.6292707028717579,36.528313103793856,41.42148453333944,1.5386647680977326,-0.6295689874713679
cnn1d,9,0.0125017611513489,0.0151260782089772,105.61917527928996,-0.730671499564354,30.767915686893957,37.263475585196794,1.24152191671376,-0.7380087854748976
cnn1d,10,0.0305938773337521,0.0330511600529091,132.26866051038803,-5.306832083170572,76.6754214407382,82.93172731313872,3.0054717339650794,-5.232810287716264
cnn1d,11,0.0198525748250782,0.023217444596048,155.75124867964396,-0.2900032642792838,49.15835530501922,57.64887199692566,1.9751710942227263,-0.2917908233849882
cnn1d,12,0.0205123316156918,0.0255840847057296,99.08809869959296,-0.6209346992617097,51.40590645004088,63.79869189550624,2.0842423870298155,-0.6255263972824467
cnn1d,13,0.0244584867931644,0.0345759696013707,86.44781552180595,-0.5735210020679096,57.35088112577216,80.62537054135562,2.505357586002241,-0.5746731586631539
cnn1d,14,0.0190171127953124,0.0227995360851919,101.07408905102535,-0.0421601877669717,44.63665143802041,53.33921811348504,1.922531466531812,-0.0295690881254737
cnn1d,15,0.0187215324695685,0.0216664546700823,195.4289760341738,-2.251062381373679,43.15022311541823,50.0636940890044,1.8489082554797844,-2.213151438365942
cnn1d,16,0.0184727143108911,0.023472304662986,89.65811258160974,-0.341075321684918,41.25410472193314,52.00608537213029,1.871833371088882,-0.3415573876908819
cnn1d,17,0.0481550121305122,0.053067197325028,105.91519946543002,-5.132120462185357,106.04715531106538,117.25151081927984,4.6777134306414965,-4.925364688040129
cnn1d,18,0.0225172856489951,0.0306718966247918,161.72006112559347,-0.7915513799891101,50.883630105102746,69.6825167542816,2.207982459666089,-0.7841107669941794
cnn1d,19,0.0615879267350376,0.0746061966265812,121.01152094212462,-2.885068761727554,150.61281651963023,183.5089662205956,5.889905161620418,-2.7403375115328643
cnn1d,20,0.0357718480496429,0.0488948180354149,184.2144240906682,-1.437062656867465,94.0283389912176,129.27471213940004,3.467000823226083,-1.3992520016978367
cnn1d,21,0.046856048158101,0.0622873195570882,98.19088149343628,-0.9267037075816824,123.93604077448472,163.4512623681851,4.883735152758737,-0.9413870601318066
cnn1d,22,0.0554999720551803,0.0572060190997525,102.7178353206179,-15.741823003404756,150.93837526830592,155.77263826391797,5.389667593867112,-15.107833224518824
cnn1d,23,0.0115730630398322,0.0138542106825503,137.27325991937187,-0.1357293948135198,31.93625850654171,38.19116318109625,1.1639138624696046,-0.1304826876878266
cnn1d,24,0.0389188094206467,0.0437610678218275,106.35334164799076,-3.1790657395054076,108.49988411825862,122.18546352579324,3.7986850655810422,-3.1571020145115476
cnn1d,25,0.0362632551094165,0.0398921900375483,189.9123912757571,-6.386432354602844,105.32624298065949,116.05717655240468,3.54805108522339,-6.217123434896557
cnn1d,26,0.0469876539641483,0.0538068748021068,106.55875292543772,-3.2892359098553916,137.085443323471,156.6112548464242,4.846564800190058,-3.355854045908613
cnn1d,27,0.0099059883744763,0.0112217443223323,122.56106176736058,-0.6286951887758037,28.12417647330501,31.83176690145651,0.994000064124676,-0.6268708050634924
cnn1d,28,0.0338781129584095,0.04056900726511,143.23215692132905,-2.9342984019239564,98.93053508981616,118.68004310777208,3.3073583317137443,-2.8832130540632965
cnn1d,29,0.0155948037814779,0.0186339512222394,214.8968830785905,-1.7304494838762126,46.517593969169226,55.472262182609406,1.5767601552404875,-1.746694720091032
cnn1d,30,0.0694983570098646,0.0768610627344975,106.8471278757351,-5.197210195762842,213.03898644470692,236.53745289519335,6.663463227656886,-4.941451575118623
cnn1d,31,0.0256904140075719,0.0324944317872893,127.83057467162315,-2.244160282975112,85.3547061417923,108.18522896618522,2.5174555849322338,-2.2058697757307772
cnn1d,32,0.0212428381632338,0.0280824207888372,102.83305980079,-1.189099243938851,71.84464126095861,94.57697149409135,2.163734936757523,-1.204784692724036
