model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
cnn1d,4,1.0713032186031342,10,1.6857539999764413,0.0121960369870066,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0004.pt
dnfs,4,1.0773685624202092,17,2.8772014169953763,0.0148710420180577,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0004.pt
lstm_gru,4,1.0729324916998546,15,14.748751875013111,0.071659878041828,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0004.pt
cnn_lstm,4,1.066167563199997,31,10.7951889160031,0.0202397900284267,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0004.pt
naive_persistence,5,,0,0.0,0.0,
linear_regression,5,,0,0.0101917090069036,0.001427873969078,
mlp,5,1.0801438267032306,11,1.6576419999764769,0.0169643320550676,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0005.pt
rnn,5,1.0732337012887,14,7.228717249992769,0.0563233359716832,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0005.pt
lstm,5,1.0759146064519882,20,6.9185352089989465,0.0153788329917006,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0005.pt
gru,5,1.07652185857296,14,11.808975042018574,0.066300251026405,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0005.pt
cnn1d,5,1.0763880138595898,24,3.9485770000028424,0.0123485810472629,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0005.pt
dnfs,5,1.0841354380051296,17,2.806575166992843,0.0165719569777138,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0005.pt
lstm_gru,5,1.075698954363664,29,28.832838917005574,0.0723817488469649,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0005.pt
cnn_lstm,5,1.072844701508681,20,7.194620584021322,0.0251305009878706,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0005.pt
naive_persistence,6,,0,0.0,0.0,
linear_regression,6,,0,0.0099009999830741,0.0009962090116459,
mlp,6,1.038146436214447,13,1.753589041007217,0.0169300830166321,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0006.pt
rnn,6,1.0300744821627934,35,18.10053333299584,0.0576851649966556,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0006.pt
lstm,6,1.0350646326939266,9,2.767263375018956,0.0153433309751562,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0006.pt
gru,6,1.035248304406802,9,7.857022792013595,0.0660321659524925,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0006.pt
cnn1d,6,1.0341133996844292,15,2.423290292004822,0.0143789149879012,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0006.pt
dnfs,6,1.0389869809150696,16,2.622680250002304,0.0143940869893413,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0006.pt
lstm_gru,6,1.035002425312996,9,8.672737250017235,0.0703167109168134,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0006.pt
cnn_lstm,6,1.0331949119766553,19,6.595063082990237,0.0220398769306484,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0006.pt
naive_persistence,7,,0,0.0,0.0,
linear_regression,7,,0,0.0100672919943463,0.0009534150303807,
mlp,7,1.0124233762423198,9,1.1963211669935845,0.0096298730350099,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0007.pt
rnn,7,1.0054270674784975,14,7.38330612500431,0.0567377919796854,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0007.pt
lstm,7,1.0111035828789074,10,3.4945532910060138,0.0159626270469743,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0007.pt
gru,7,1.011692335208257,13,11.12009654098074,0.0670460820838343,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0007.pt
cnn1d,7,1.0071766152977943,24,3.97184512502281,0.0134375438792631,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0007.pt
dnfs,7,1.0118813241521518,23,3.833550707990071,0.0156100449967198,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0007.pt
lstm_gru,7,1.0109422182043393,10,10.048322499991627,0.0686557070876006,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0007.pt
cnn_lstm,7,1.0104767406980195,14,5.0114396669960115,0.0173960440442897,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0007.pt
naive_persistence,8,,0,0.0,0.0,
linear_regression,8,,0,0.0092064999917056,0.0010905830422416,
mlp,8,1.0238522812724111,13,1.7156070420169272,0.0152843358810059,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0008.pt
rnn,8,1.018685442705949,10,5.254718334006611,0.0560866250598337,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0008.pt
lstm,8,1.0206153045097988,10,3.386260041006608,0.0153071669628843,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0008.pt
gru,8,1.0216093510389328,10,8.96692570799496,0.0658846660517156,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0008.pt
cnn1d,8,1.0182528297106426,35,5.917201000003843,0.0156745788990519,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0008.pt
dnfs,8,1.0228097637494404,10,1.7000980410084594,0.0137094150413759,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0008.pt
lstm_gru,8,1.0207813705007236,10,9.91400266601704,0.06991462392034,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0008.pt
cnn_lstm,8,1.021451396246751,9,3.843240500020329,0.0221987909753806,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0008.pt
naive_persistence,9,,0,0.0,0.0,
linear_regression,9,,0,0.0098970829858444,0.0017374979506712,
mlp,9,1.0391204804182053,12,1.6247498329903465,0.0093670430069323,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0009.pt
rnn,9,1.035501132408778,13,6.807746207981836,0.0791170440206769,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0009.pt
lstm,9,1.037055030465126,13,4.643783666979289,0.0211542100878432,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0009.pt
gru,9,1.0380731200178464,13,11.765612749994034,0.0681730000360403,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0009.pt
cnn1d,9,1.033954593042533,37,7.719216541008791,0.0111406700161751,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0009.pt
dnfs,9,1.0404216945171356,26,4.76171575000626,0.013460042013321,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0009.pt
lstm_gru,9,1.0378696123758953,13,13.533934207982384,0.0708488749805837,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0009.pt
cnn_lstm,9,1.03672211120526,9,3.998744915996213,0.0184283310372848,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0009.pt
naive_persistence,10,,0,0.0,0.0,
