model,horizon_step,forecast_count,price_rmse,rmse,price_rmse_improvement_vs_persistence_pct,rmse_improvement_vs_persistence_pct
linear_regression,1,38,27.95291998058389,0.0106310086588806,3.2074451089312817,1.7268368746303797
rnn,1,38,28.08561433947428,0.0105148264201873,2.747964452686618,2.8008267905204103
mlp,1,38,28.15051871209431,0.0106685222224559,2.5232201306673656,1.3800610727341178
dnfs,1,38,28.44708553000915,0.0106369996097351,1.4962984344069898,1.6714564578240634
lstm,1,38,28.65079072263554,0.0107755823262666,0.7909286178518257,0.39039627387996734
cnn_lstm,1,38,28.659773896677468,0.0107125352743508,0.7598225878859709,0.9732039280078161
cnn1d,1,38,28.7665458962864,0.0108028686386872,0.39010326553413344,0.13816129621775464
lstm_gru,1,38,28.795067763256434,0.010831718213485,0.2913406183326801,-0.1285244963700735
naive_persistence,1,38,28.879204616555867,0.01081781467166,0.0,0.0
gru,1,38,29.06309677234332,0.0109064983926768,-0.63676322886688,-0.8197933104652702
mlp,2,37,44.927250227150715,0.0176021007488964,4.024621347599488,3.134495717847889
dnfs,2,37,45.89619273189479,0.0179024742732962,1.954727834975402,1.48152069349926
cnn1d,2,37,46.30870366791323,0.0179748053989081,1.0735055682563124,1.083477808866198
naive_persistence,2,37,46.81122477241407,0.0181716916453814,0.0,0.0
lstm_gru,2,37,46.860112990652866,0.0181904319171836,-0.10443695604308109,-0.10312893355177334
cnn_lstm,2,37,46.95547799081223,0.0182666157519864,-0.30815946196555016,-0.5223735272281332
lstm,2,37,47.27137919804683,0.0183420315035089,-0.9830001839728156,-0.9373913086996085
rnn,2,37,47.39857929108173,0.0183448845238367,-1.254730081349609,-0.9530916649651419
gru,2,37,47.867063654202624,0.0185534080613571,-2.2555250090588537,-2.100610242705267
linear_regression,2,37,49.1284382865104,0.0189007789086908,-4.950123662352599,-4.012214589249353
mlp,3,37,49.11409188470759,0.0194230970645424,3.7843527082159474,2.0997097138432435
dnfs,3,37,50.19115954791377,0.0194890987318852,1.674352127614786,1.76703452971792
naive_persistence,3,37,51.04584676935546,0.0198396725972618,0.0,0.0
cnn1d,3,37,51.16116846685957,0.0198256092197538,-0.22591788520069414,0.07088512897104556
