market,model,feature_set,seed,expanding_recursive_price_rmse,expanding_recursive_price_mae,expanding_recursive_rmse,expanding_recursive_mae,rolling_recursive_price_rmse,rolling_recursive_price_mae,rolling_recursive_rmse,rolling_recursive_mae,price_rmse_delta,price_rmse_delta_pct,price_rmse_candidate_wins,price_mae_delta,price_mae_delta_pct,price_mae_candidate_wins,rmse_delta,rmse_delta_pct,rmse_candidate_wins,mae_delta,mae_delta_pct,mae_candidate_wins
bist100,cnn1d,close,1,1096.7160981045165,648.2166226139489,0.1446407418281835,0.0800074423088413,1034.287975176392,683.2376645786221,0.125259510979902,0.0833805891729774,-62.428122928124594,-5.692277430414378,True,35.02104196467326,5.402675701750764,False,-0.0193812308482815,-13.399565435929636,True,0.0033731468641361034,4.216041366645901,False
bist100,cnn1d,close,7,1214.2374186001823,709.8389639936673,0.1596879464806813,0.0908054882719912,1260.132874955994,797.2709680193809,0.1486212806823821,0.0953089212506576,45.8954563558118,3.779776150262424,False,87.43200402571358,12.31716043506645,False,-0.011066665798299208,-6.930182297533664,True,0.0045034329786664,4.959428184755961,False
bist100,cnn1d,close,42,899.9630243667217,602.239514977313,0.1042385278374102,0.0705896064906428,1167.751256138493,742.874200133963,0.1484164036689067,0.094013879943371,267.7882317717714,29.755470449489447,False,140.63468515665,23.351952447349433,False,0.044177875831496516,42.381523173854255,False,0.023424273452728198,33.183742787733586,False
bist100,cnn1d,close,123,1178.1155790693538,745.5717304032455,0.1418014157337673,0.0898467472898646,1423.1247673959897,844.9277161573734,0.1852075163068978,0.1052973129236092,245.00918832663592,20.796702180967646,False,99.35598575412791,13.326147130121312,False,0.04340610057313049,30.61048463340141,False,0.015450565633744598,17.196577616658516,False
bist100,cnn1d,close,2026,997.885817632074,674.3203555088375,0.1235413005477107,0.0818505864680646,943.936341968654,603.3520682343299,0.1155976718611813,0.0733368955917472,-53.94947566342,-5.406377634611445,True,-70.96828727450759,-10.52441716978207,True,-0.007943628686529397,-6.42993772229363,True,-0.008513690876317398,-10.40150259600053,True
bist100,cnn1d,indicators,1,1070.7769402515407,737.7311642521653,0.1141901333808485,0.0849795746867826,1262.0316300645568,813.5046690106784,0.1333971783236675,0.0932493023774294,191.25468981301606,17.861300764292476,False,75.77350475851313,10.271154104669604,False,0.019207044942818982,16.820231638367023,False,0.008269727690646794,9.731429841967703,False
bist100,cnn1d,indicators,7,951.9152980680155,634.2144981929131,0.1064714464605099,0.0758378896219549,1165.3050883653304,756.1890938187856,0.1206045941757264,0.0842220362379793,213.3897902973149,22.41688842803616,False,121.97459562587255,19.232388406985102,False,0.014133147715216496,13.274120137419622,False,0.008384146616024407,11.055353277653992,False
bist100,cnn1d,indicators,42,1264.6063211308835,854.2821965670238,0.1469335988617294,0.1002480117157577,1538.8876841407982,1003.667685738774,0.1604370031211168,0.1153099384204273,274.2813630099147,21.689071011809947,False,149.38548917175024,17.486667727837872,False,0.013503404259387397,9.190140556003572,False,0.015061926704669604,15.02466377824635,False
bist100,cnn1d,indicators,123,1013.5963252175688,670.9998143089974,0.1001037703276922,0.0746683246416753,1052.524678854198,746.6642713853487,0.1179800112305697,0.0868564544246819,38.928353636629254,3.8406170847426138,False,75.66445707635125,11.276375263124521,False,0.017876240902877497,17.857709898797193,False,0.012188129783006596,16.323025649090198,False
bist100,cnn1d,indicators,2026,1009.4601489877645,666.7774065785864,0.1077591996862072,0.0765620757003775,1131.2563523619967,805.5872680316581,0.1226512354452407,0.0923650049808758,121.79620337423228,12.065479107457916,False,138.8098614530718,20.81802113921982,False,0.0148920357590335,13.819734929731137,False,0.0158029292804983,20.640675080887835,False
bist100,dnfs,close,1,592.1770904004893,435.95868915111134,0.0682796610286012,0.0522594786010531,526.472407296681,404.1132048192594,0.06269431591984,0.0487703125542998,-65.70468310380829,-11.095444955388636,True,-31.845484331851935,-7.3047022858658295,True,-0.0055853451087612,-8.180100815704977,True,-0.0034891660467533045,-6.676618558308757,True
bist100,dnfs,close,7,574.0252789558149,424.6080522140688,0.0684152038789583,0.051494437723734,585.570614562232,434.4756229639677,0.0693686087943014,0.0527736407319391,11.545335606417098,2.0112939324586416,False,9.867570749898903,2.3239245460479645,False,0.0009534049153430979,1.3935570769179948,False,0.0012792030082051029,2.484157638671551,False
bist100,dnfs,close,42,569.4075998162575,418.80014114310046,0.0668767577544641,0.050401340315669,554.2008005952522,416.6868379382551,0.0673926710057813,0.0510943946313761,-15.206799221005326,-2.670635099691753,True,-2.1133032048453515,-0.5046090001491317,True,0.000515913251317196,0.7714387907550112,False,0.0006930543157070979,1.3750712012149366,False
bist100,dnfs,close,123,572.651603070317,431.7304705010869,0.0670300022316032,0.0517761422195089,576.0157438833612,427.9759698150945,0.0690832799894355,0.0522635794997385,3.3641408130441732,0.5874672829006442,False,-3.7545006859924115,-0.8696399588462587,True,0.002053277757832303,3.0632219744492666,False,0.00048743728022959676,0.9414322105402702,False
bist100,dnfs,close,2026,580.4798104501178,429.8771264950944,0.0683317452496326,0.0517396323773786,597.1274366396266,445.7148477839417,0.0684824278989867,0.0528417633191703,16.647626189508742,2.8679078737639085,False,15.83772128884732,3.68424377867615,False,0.00015068264935409748,0.22051631903095237,False,0.0011021309417917,2.1301483817143807,False
bist100,dnfs,indicators,1,564.7105121820916,421.8525537452535,0.068872343412967,0.0521273551576345,536.3880853911178,413.3168095005237,0.067866035399781,0.0517383340977661,-28.32242679097385,-5.015388624789979,True,-8.535744244729813,-2.0233951813135973,True,-0.0010063080131859914,-1.4611206230519056,True,-0.0003890210598684052,-0.7462896567301279,True
bist100,dnfs,indicators,7,548.2808016230179,427.5986367327109,0.0681136790185243,0.0530024676380258,539.2774384953142,413.9415072892572,0.0648129956439157,0.0507312280466182,-9.003363127703665,-1.6421080404515274,True,-13.657129443453698,-3.1939132331683933,True,-0.0033006833746086067,-4.845845096270527,True,-0.0022712395914076047,-4.285158206064615,True
bist100,dnfs,indicators,42,559.3851366312966,420.1956245869863,0.0666032682385054,0.051310017796219,563.7802072136452,428.0748574927063,0.0679337140066035,0.0523839828538974,4.3950705823485805,0.7856967042092631,False,7.879232905720016,1.87513444802396,False,0.0013304457680980986,1.9975682924954827,False,0.0010739650576784,2.0930904018465175,False
bist100,dnfs,indicators,123,580.0645373414736,445.0768537481004,0.0696340971006892,0.054382175814506,560.6588517102474,434.8954358668031,0.0691180109965017,0.0538052417574862,-19.40568563122622,-3.345435616554928,True,-10.181417881297307,-2.2875640005893616,True,-0.0005160861041875048,-0.7411399381559538,True,-0.0005769340570197998,-1.060888146490651,True
