market,model,feature_set,seed,horizon_step,expanding_recursive_price_rmse,expanding_recursive_price_mae,expanding_recursive_rmse,expanding_recursive_mae,rolling_recursive_price_rmse,rolling_recursive_price_mae,rolling_recursive_rmse,rolling_recursive_mae,price_rmse_delta,price_rmse_delta_pct,price_rmse_candidate_wins,price_mae_delta,price_mae_delta_pct,price_mae_candidate_wins,rmse_delta,rmse_delta_pct,rmse_candidate_wins,mae_delta,mae_delta_pct,mae_candidate_wins
bist100,cnn1d,close,1,1,166.5496046935773,122.45681091595992,0.0216947882546483,0.0148868028755767,154.98053538435033,118.89109626295529,0.0211729398190166,0.0147266622731393,-11.569069309226961,-6.946320485426588,True,-3.5657146530046333,-2.9118140725155124,True,-0.0005218484356316992,-2.4054092139843246,True,-0.0001601406024373999,-1.0757219248205852,True
bist100,cnn1d,close,1,2,284.42401497086286,190.2344847661777,0.033543553431033,0.0227193517258732,254.94121104997723,185.53220204620263,0.0313296545736433,0.0226070597762968,-29.48280392088563,-10.365792749218425,True,-4.702282719975074,-2.4718350754095795,True,-0.0022138988573896998,-6.600072535372771,True,-0.00011229194957640062,-0.4942568385369929,True
bist100,cnn1d,close,1,3,387.3083768850244,255.4648804180377,0.0452429054024604,0.0304618367887343,343.77577959873014,259.20132734251007,0.0411302816332972,0.0314213880008708,-43.532597286294276,-11.23977685079021,True,3.736446924472375,1.4626068829336256,False,-0.004112623769163201,-9.090096519176129,True,0.0009595512121364988,3.1500110081719352,False
bist100,cnn1d,close,1,4,532.5756401602473,345.50444543599724,0.0606912309479413,0.040131197158712,478.4362125713438,355.1246127847192,0.0545873347733029,0.041420034043044,-54.139427588903516,-10.165584661854501,True,9.620167348721964,2.7843830884960483,False,-0.0061038961746383985,-10.057295064379392,True,0.001288836884331998,3.21155852698555,False
bist100,cnn1d,close,1,5,623.2421115061887,420.5328419258584,0.0711030917207129,0.04873760357476,579.0722996619671,434.5198557835084,0.0651252958539834,0.050421033334054,-44.16981184422161,-7.087103234644473,True,13.98701385764997,3.3260217664797596,False,-0.005977795866729502,-8.407223542697402,True,0.001683429759293996,3.4540675696369334,False
bist100,cnn1d,close,1,6,667.5147415429138,440.29251906368535,0.0781007449107581,0.0520796168182386,650.7603134494348,484.09000651090463,0.0729392201220709,0.0563447883235939,-16.754428093479078,-2.5099712486876893,True,43.79748744721928,9.947361254367411,False,-0.0051615247886871995,-6.608803532648788,True,0.004265171505355304,8.189713684417153,False
bist100,cnn1d,close,1,7,740.2740018838292,488.63436456344,0.0883286852692051,0.0580704652656581,674.6744682495586,492.246396036853,0.0773276164973374,0.0583342491850941,-65.59953363427064,-8.861520662259478,True,3.612031473413026,0.7392094652696233,False,-0.011001068771867711,-12.454695480113887,True,0.00026378391943599616,0.45424798687120826,False
bist100,cnn1d,close,1,8,828.9702158748457,546.2665361852953,0.1005550778186254,0.0658897806750777,746.7541144421945,554.3766654036169,0.0870346712528115,0.0668648360079265,-82.21610143265127,-9.917859515119646,True,8.110129218321617,1.4846469042303987,False,-0.013520406565813894,-13.445772067524137,True,0.0009750553328488065,1.479827862316157,False
bist100,cnn1d,close,1,9,942.5858547277855,593.8206132309647,0.1161235749557033,0.0727222691421921,837.883274997742,605.9491260527298,0.0982507859289475,0.0737883830246316,-104.70257973004357,-11.10801516964003,True,12.12851282176507,2.042453992254345,False,-0.017872789026755806,-15.39118050195543,True,0.0010661138824395039,1.4660074486330414,False
bist100,cnn1d,close,1,10,1003.4842132627174,617.8940478667782,0.1247925018072797,0.0760256127665956,914.7057925863965,649.4780361526223,0.1066056835988981,0.0787393761886956,-88.77842067632093,-8.847017173062222,True,31.583988285844043,5.111554059289748,False,-0.018186818208381597,-14.573646609367582,True,0.0027137634221000018,3.569538374431077,False
bist100,cnn1d,close,1,11,1076.3467407425826,650.6174693057851,0.1357596630812254,0.080070856889406,995.813872226068,708.0183358045217,0.1165688922673994,0.0853940461919959,-80.53286851651455,-7.482056243414098,True,57.400866498736605,8.822521559401697,False,-0.01919077081382599,-14.135841514532999,True,0.0053231893025899035,6.648098333632549,False
bist100,cnn1d,close,1,12,1148.1951669717353,709.7668809914093,0.146899711842062,0.0877810603775672,1057.486532088778,766.1945912549697,0.1253358537613485,0.093190997238142,-90.70863488295731,-7.900105965625463,True,56.42771026356047,7.950175159587849,False,-0.021563858080713483,-14.679305908984823,True,0.00540993686057481,6.162988732769217,False
bist100,cnn1d,close,1,13,1196.7100420141912,760.2884581392384,0.1565387508499635,0.0947285477609798,1125.8545772179923,816.7285440729228,0.135224945705687,0.0999954135272944,-70.85546479619893,-5.920854869483805,True,56.44008593368437,7.423509502145828,False,-0.0213138051442765,-13.615673453728387,True,0.005266865766314591,5.55995620201421,False
bist100,cnn1d,close,1,14,1307.765852134644,828.8696517125107,0.1697751962682313,0.1019317893632418,1219.5490159472172,867.5284014917283,0.145962687731045,0.1055168589581635,-88.2168361874269,-6.745613983071363,True,38.6587497792176,4.6640324807821765,False,-0.023812508537186278,-14.025905468290205,True,0.0035850695949216915,3.5171261265178217,False
bist100,cnn1d,close,1,15,1345.034904905814,854.009929230232,0.1770809517114552,0.1050340545469591,1267.1797340564972,920.4847848968644,0.1519011356666721,0.1121867123857704,-77.85517084931689,-5.7883383223254485,True,66.47485566663238,7.7838504438174345,False,-0.025179816044783088,-14.219381475774073,True,0.007152657838811291,6.80984645376462,False
bist100,cnn1d,close,1,16,1440.1552785599931,926.1170278721912,0.1933662499249193,0.1162080840684747,1366.9417227882616,997.0547873955264,0.1662544390211798,0.1229442328162425,-73.21355577173154,-5.0837265162779905,True,70.93775952333522,7.659697142845859,False,-0.027111810903739486,-14.02096328302717,True,0.006736148747767803,5.79662663038019,False
bist100,cnn1d,close,1,17,1493.1094426636464,976.2135357834344,0.2030325226815171,0.1231560595017923,1432.1832187460757,1045.069105135403,0.1753221123166061,0.1285384169688871,-60.926223917570724,-4.080492841092802,True,68.85556935196871,7.0533307343162885,False,-0.02771041036491101,-13.648261864124295,True,0.005382357467094798,4.370355375828234,False
