market,feature_set,model,horizon_step,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,cnn1d,1,5,5,-0.927496600495374,10.094178337109513,-0.715433245213035,5.907107575702608,2,1.3614288298908008,9.255682584158079,1.0438300298465104,7.403281459052581,3,0.0001564089611890196,0.0009212629093716038,0.7000636294143298,4.124327384634996,3,0.00025393433965453934,0.0010956619910175481,1.764413548695881,7.255064450781188,3
bist100,close,cnn1d,2,5,5,0.8040679776989237,30.59477976662501,0.21991753775951217,10.876916774504329,2,0.7799710903129267,18.068782457955805,0.4001909044697058,9.195367626001921,2,0.0005265747586978397,0.0029563739656290637,1.624110593403234,8.991843037080256,2,0.00029324348366614045,0.001515134294716672,1.1759484307133856,6.494468057191183,2
bist100,close,cnn1d,4,5,5,14.320813067389725,68.99934857243369,3.0550739992279574,13.809964339276316,3,19.375959966369237,25.22923761460428,5.27932812706591,7.2151468826601315,1,0.0016492524826365595,0.008886410900663045,3.3377468045449765,15.794748815549626,3,0.0021721593066068414,0.003222926101900877,5.1681830485325,8.078543628292236,1
bist100,close,cnn1d,3,5,5,17.21977303671928,54.22743876228638,4.712015964196773,14.565160843691991,2,22.56309343509589,27.115662532985972,8.737048566868815,10.64964659685704,1,0.0022487647311818003,0.006523524263495782,5.6453871835925655,15.423823225219566,3,0.0027812764848929596,0.0026306636358394324,9.184258737330303,9.07068673464084,1
bist100,close,cnn1d,5,5,5,28.71702010770766,78.42868771833305,4.970890758748553,13.5911878145137,2,24.48789961498601,35.96705397455174,5.667561803228863,8.764856393579299,1,0.0034290975566108025,0.011194757887372087,5.6733774838694675,17.385725248750493,3,0.003060777074470139,0.004638843991423314,6.256449263417467,10.107088570737385,1
bist100,close,cnn1d,9,5,5,41.0089526426644,152.42386800351522,5.37874925838706,18.13661973739487,3,41.38652489494507,79.28197168173396,7.31479761655236,14.124077145730999,1,0.004246124456606382,0.02435934000754163,5.7487974113454685,24.329395743302303,3,0.0050723014968370814,0.011536642657279994,7.755663486351155,17.307339805991976,2
bist100,close,cnn1d,7,5,5,38.65305362865481,109.77238852070938,5.732488052722756,15.903374028582661,2,25.869230115649373,56.32151777379411,5.001262351885851,10.608858519943556,1,0.003962269692838799,0.01651438640752703,5.670990298742444,20.422528845864463,3,0.003078903039073956,0.007105896088879393,5.0835328411110074,11.447820418422154,1
bist100,close,cnn1d,6,5,5,40.25026670367235,76.10939284386107,5.875943434314955,11.358573884879892,2,32.08603248988747,40.49847741893511,6.74907083779907,8.557901894925791,1,0.00446735768390222,0.012286521104519284,6.211309525986495,16.427218568935317,3,0.0038892532236112,0.004969191122141114,7.054469656059306,9.138611309920133,1
bist100,close,cnn1d,8,5,5,45.44967213052414,129.59118032154393,6.4418662234106465,17.49783934393917,3,36.22590993740041,61.985619489470494,6.515877613740625,11.226763657477033,1,0.005139125186698124,0.020427702966506135,7.1968802115519335,23.48860081897201,3,0.004579987699618484,0.008602831543337108,7.200394231028058,13.646409740924797,1
bist100,close,cnn1d,10,5,5,65.79852664366881,165.9395606696161,7.660475075207607,18.658034377954085,3,62.5497006881739,96.68201806812691,10.429849510214227,16.687647219353906,1,0.006929644162051285,0.02822126780521392,8.165709009614215,26.80681964984872,3,0.007621490657514366,0.014783929106058214,11.21226457395642,21.772621594682306,2
