market,feature_set,model,fold,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,cnn1d,22,5,5,-433.0032471859616,776.4784517343127,-27.560390923232706,39.6077798642843,3,-387.4265020356077,705.1004326382538,-26.726289693211736,39.6182316764757,3,-0.0518371677768452,0.09056752074640614,-28.019157836060213,40.12373021045369,3,-0.045685766056633284,0.08102913856643237,-27.07356260496864,40.09308459155681,3
bist100,close,cnn1d,4,5,5,-117.80553581919344,146.38876063074503,-24.693118388944878,41.27392511384424,3,-116.53504692948263,124.45637489271488,-33.485116851336294,31.85584109438327,4,-0.025340571115314597,0.031025835191848698,-25.706323108379856,40.787773228344015,3,-0.025033846445689754,0.026536615829845015,-34.41527508706231,31.593990232402216,5
bist100,close,cnn1d,5,5,5,-152.28848100372272,187.71757940388537,-23.288470184222238,25.699502917218492,4,-138.25074511138024,172.0927478848029,-23.64306534992308,22.256799152575677,4,-0.031056846299774753,0.03876251777199689,-24.22608331071067,24.631609893869257,4,-0.028433341273143665,0.03667204204372869,-24.24875840171602,23.600560790545398,4
bist100,close,cnn1d,41,5,5,-182.4681730772094,272.1193927038557,-20.534525466290127,31.14192469753587,3,-170.49451631048063,249.75372343067113,-21.15619364532864,32.397395586939254,3,-0.015462947303686381,0.022896190857924534,-19.971115916318354,30.299377608513716,3,-0.014613658932626079,0.02130724923463965,-20.69216580932039,31.74189077212646,3
bist100,close,cnn1d,30,5,5,-138.33449810077167,358.7681440854036,-16.77685128614206,47.80364028623934,3,-131.6366421186724,328.1134438308336,-17.97513413335948,48.35219396183399,3,-0.013313586189837402,0.03375759313399841,-16.818904515861867,46.29622928191378,3,-0.01276012401238782,0.03117507868888956,-18.036099196980793,47.103563822603896,3
bist100,close,cnn1d,40,5,5,-64.234902338821,115.95345039582915,-11.504824747848172,22.676830641349138,3,-86.28052074326249,132.41258990334373,-15.86805752441779,29.29705941625631,3,-0.005445945202134861,0.01040411328082063,-10.72258605418294,21.98694137024065,3,-0.00751236406198612,0.011905258186432538,-15.062003606721788,28.79517685586028,3
bist100,close,cnn1d,27,5,5,-146.89454139029058,374.65251401057793,-10.446397455143218,56.08084027453673,3,-131.91694447926042,334.9509195251517,-10.24946176065264,57.729690059263085,3,-0.018365900972979056,0.04837517945941257,-10.654409741617613,59.5527079660639,3,-0.016038765179073152,0.041937096114651004,-10.341540434977208,60.86377901663455,3
bist100,close,cnn1d,39,5,5,-451.55863686537685,794.2163608752,-10.374830151851441,80.10392222120478,4,-434.6532093060829,726.6213155934053,-11.732051445367246,86.11627013340885,4,-0.048992959072607055,0.08418431563526996,-10.709729740444256,86.04201946457864,4,-0.046155588209653584,0.07611227993903974,-11.776690615408056,91.75007146845817,4
bist100,close,cnn1d,1,5,5,-19.56061666096307,40.52350128531039,-5.880597572138905,22.790855481693352,4,-19.21277770645283,30.56445444027816,-8.018797453461135,19.66126445446107,4,-0.0063179124002479435,0.01275280894320053,-6.165063939780968,23.794499567505788,4,-0.0061687011228506216,0.009776892249578612,-8.27864662901267,20.649535130662898,4
bist100,close,cnn1d,6,5,5,-38.6588488594917,110.92038908012654,-5.375634693418943,21.559211439449076,3,-37.21861744066814,105.08453236546367,-5.59845081765073,22.576500506275526,3,-0.008305010366845278,0.02337083202332614,-5.653978752045576,22.41978902669746,3,-0.00828269654469468,0.022570452035985566,-6.113259609274946,23.811896523479625,3
bist100,close,cnn1d,44,5,5,-245.08514657253235,548.523684381636,-4.85178144322645,56.44092297084875,3,-215.94415437675843,475.40321116034414,-6.5892853168620125,54.30534708320206,3,-0.016153195767633084,0.03658044979871218,-4.771839834551678,55.56427381406779,3,-0.014433514114966402,0.03202852578715068,-6.577417049946381,53.53575951567552,3
bist100,close,cnn1d,10,5,5,-30.129832766956884,128.71034623790598,-3.669776508964168,21.879052242615717,3,-17.826425398801632,74.10501259705794,-3.162663263457921,16.47077031326505,3,-0.006364160195312202,0.027875038509233122,-3.5225237749665523,23.156155751541913,3,-0.00392235272890844,0.01647494881541982,-3.221949919295698,17.654179688188762,3
bist100,close,cnn1d,32,5,5,-15.9208460165078,77.19325697489923,-2.7380342874929853,19.034008014534727,2,-14.359453361841542,47.45296644641512,-3.6335722541383846,14.118436259014846,2,-0.0015084009109879795,0.007461748895850906,-2.5961649642326288,18.579409714117762,2,-0.0013774254725929206,0.004665921440846738,-3.488111533114112,13.968542689948487,2
bist100,close,cnn1d,0,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
bist100,close,cnn1d,48,5,5,-17.478002535772156,411.0591899533586,1.2709333955664293,48.17840492195541,3,-7.857196737753588,392.83266000075133,3.9896099811012804,53.55068734880938,3,-0.001956366703496259,0.026004800559989525,-0.9349132644310572,43.54210590062149,3,-0.0011330587499349773,0.025308253838373443,1.8977421822794995,49.17030207800999,3
bist100,close,cnn1d,8,5,5,-41.82178786005487,190.40870959978312,3.4943977674255597,37.36463592405151,1,-28.82971893996041,182.45461876666013,10.73273296734654,46.06407913645968,1,-0.007863440025349222,0.034418738437194375,2.0198177982711685,34.687445691166005,1,-0.005299302630247081,0.033361956193421013,8.98006344195009,42.480364714591765,1
bist100,close,cnn1d,31,5,5,-23.754876169596223,121.93092314362585,3.7455568209533445,62.842908346667336,4,-14.425733513082696,80.47045246970862,1.163799939074584,46.72616013024061,4,-0.0022928164050951398,0.011944246433611546,3.5971331024271733,61.46503556848438,4,-0.0013774094189011998,0.007859570786221693,1.1324473200232028,45.537968906827395,4
bist100,close,cnn1d,43,5,5,42.2167942815744,177.06975128494955,3.8945003869366372,14.604432617700406,2,37.087893710461756,156.07041803845124,3.78411804352501,14.271699697904786,2,0.0037060216016723767,0.015260075240288525,4.243962946067459,15.568895800663086,2,0.003253693752891937,0.013467395968547635,4.081058790459623,15.09415195179142,2
bist100,close,cnn1d,38,5,5,-0.4982745302329363,127.39929420557344,4.46751486747282,30.56950495707179,3,-1.9939397342403709,53.18554163389157,0.8704060253832523,16.49071418510653,3,1.928833133890209e-05,0.011293769984961366,4.479540359295527,30.10581918492602,3,-0.00016229678407784012,0.004624689185973096,0.8291814556408752,15.917054356006869,3
bist100,close,cnn1d,20,5,5,-102.24076173971164,707.4102461867251,4.814970576603792,31.197079246962677,2,-143.20010441218955,654.3538015436893,0.41342760345369883,35.17200061162868,3,-0.019110720441608442,0.12227249479447755,10.470086618674095,36.48083439338689,2,-0.022425182680935803,0.10702167472597121,4.985435648524772,38.45706840735366,2
bist100,close,cnn1d,7,5,5,39.333071124094886,100.67179682991913,5.49606539407098,13.853136040043337,2,36.25084525402788,93.2321829932487,5.170906647650902,13.10554362850846,2,0.009006774788280197,0.022804228290580267,6.141541828310602,15.299647355098195,2,0.0082948738976025,0.021123002831647406,5.758980302513099,14.439197125874562,2
bist100,close,cnn1d,42,5,5,-19.949577714219146,173.38036167740776,7.1120869662331145,100.1849022525052,4,-20.51855424458271,164.65927330958235,8.23568758193571,107.03902257737018,4,-0.0017388324862274598,0.015721865766146544,7.789168979005247,102.17977548774893,4,-0.0018061977207926797,0.014925076604157187,8.852063486482617,108.92951816683195,4
bist100,close,cnn1d,21,5,5,250.87723084078615,1059.6071816729038,13.160848776037648,35.689339102564425,2,234.94288271832187,989.9492715612166,14.109152007768751,37.66897449676646,2,0.047973870218018536,0.19052505196997102,19.599278927487912,47.69986507328737,2,0.042620307975289005,0.16941662010360922,20.129191038452667,48.721541796634746,2
bist100,close,cnn1d,49,5,5,31.6420743691666,33.39560070222495,14.286800659277684,18.26468713663883,1,4.07663936783855,40.84714690609316,5.632195127737045,14.618579461035274,1,0.00202471478243228,0.0022801358098232653,13.45817653136337,17.91460824704418,1,0.00014761620743457965,0.003110806011818012,5.061531595077442,15.540255972862331,1
bist100,close,cnn1d,11,5,5,25.548986696198096,257.57740041808034,16.33326305171814,70.52048215759345,4,10.086867672229129,169.59625886526993,8.711668969222435,54.45933181947379,4,0.005178371796860241,0.047453761328789465,18.44727937652418,74.51851941117944,3,0.0021977223128071834,0.03166556073866623,10.265087007932294,58.23968862852105,4
bist100,close,cnn1d,33,5,5,109.03116198017308,486.19951219653416,18.144991835949135,54.88832566204246,2,95.7712349390486,437.4014947642047,17.519066981463585,53.818337700931274,2,0.00991817051541368,0.04564444259323743,16.416425070327527,51.22006211583525,2,0.008738304784384938,0.041099692907397,15.945428521106725,50.425415606447885,2
bist100,close,cnn1d,37,5,5,-30.534263444470717,562.517646398653,20.609560895688332,122.63854982141905,3,-31.956514178482173,498.5060503143128,17.968380906013373,118.83294189721028,3,-0.0034129997463334958,0.058136041667367425,23.775672888302026,131.1399456211572,3,-0.0034523960019609452,0.05118346739464338,20.6369969147789,126.15221149133878,3
bist100,close,cnn1d,9,5,5,-12.942079218997469,226.0905867005499,21.79799264974818,90.98173738879416,2,-8.554787136974586,182.64083279225673,21.703393267996002,86.64191816170336,2,-0.0025287481177677,0.045315949412749454,20.408161707332123,87.48619449169807,2,-0.0016582167103232014,0.03645688004725211,20.520798727748634,83.84200562022271,2
bist100,close,cnn1d,45,5,5,59.51855845976475,1262.548290772915,21.9640968598141,108.15203712207116,2,21.37376629912892,1156.863732621059,17.73023037988407,102.31742817453254,2,0.001960611099274437,0.08499944774024656,17.118964129934305,97.3171738933959,2,-0.0003303551660142068,0.07898618552812514,13.732577044445733,93.51551364447656,2
bist100,close,cnn1d,2,5,5,-5.421594047113922,146.56216639602673,26.435953947983712,101.3801607768349,3,-2.2318980603649434,116.45924530971422,30.18816440746005,108.32679307028656,3,-0.0023033068844675415,0.04296511096128083,24.67380556464915,99.08208905364408,3,-0.0009923257106593767,0.03461232116292767,30.32889283151868,109.79593863588062,3
bist100,close,cnn1d,3,5,5,93.2978036390239,109.41892775368,30.451990726344246,42.35394905704884,1,81.13960164792789,94.657208581983,35.72023605981407,50.344790532736326,1,0.02423752000983384,0.028151871186794304,33.67943866561661,47.025025580753,1,0.0210041220610425,0.02430938377177549,38.88975700263931,55.045494086090955,1
bist100,close,cnn1d,34,5,5,30.999288734229538,220.6187337559247,32.24480994627065,61.61069800436542,2,27.93380984087621,163.5127074589439,32.66453656279647,56.03334593457279,2,0.0027231218728408025,0.02534230497862915,32.56562051868259,64.37600786807862,2,0.00248154404628598,0.018851222051350407,32.790030070946834,58.75284549764675,2
bist100,close,cnn1d,14,5,5,87.04490576291953,329.250389251205,33.390338001985654,77.20451917878583,2,54.8214323186985,284.62262602888217,34.20417744708432,76.25183852858184,2,0.012319962721697062,0.04174307697257457,36.23973039136915,82.50939954365187,2,0.00803534029353992,0.03506884722200835,36.825824572467745,79.82443165830783,2
bist100,close,cnn1d,25,5,5,-309.95735081140975,1920.6652831045212,41.424186760457175,107.10470630654991,2,-299.96236429811995,1754.3312235660544,41.278423937967105,104.8204301054667,2,-0.06049661730192181,0.28096609966387287,54.12343003771307,127.39070515368333,2,-0.0540881028209078,0.2460890269721664,52.252207152387406,121.78477435061,2
bist100,close,cnn1d,47,5,5,289.02650911592457,163.07713608687436,42.96941920099724,23.14599149649002,0,198.16903644665442,114.91330669239353,37.036332648853566,19.544815562225192,0,0.01914906832859664,0.010548991113848204,40.82231460978458,21.830148739918346,0,0.0130817200818312,0.007431485842837104,35.24966341956769,18.462700818051893,0
bist100,close,cnn1d,35,5,5,122.76900368997167,228.99367214456478,45.94742925594582,78.76557570292354,2,144.32474451744744,203.76966349480935,62.44999313419156,88.96197290563117,2,0.012001492825496481,0.02363574850672958,42.50962246852571,75.42949901548221,2,0.01440399682973966,0.020919084023496067,58.59772455887209,85.37612482989219,2
bist100,close,cnn1d,16,5,5,142.76145950441207,297.7253843718587,53.08630501205403,121.2713809098148,2,128.68753377907814,262.92870965532416,53.97175086020511,122.06675946823994,2,0.02044294840600098,0.03954888365033649,57.98676121408322,126.85439187494957,2,0.018209998189761937,0.034874481219868976,58.29249030821349,127.0664296890174,2
bist100,close,cnn1d,19,5,5,97.79242842982335,276.26624847854555,55.209158417237425,134.81050257183628,3,88.06540189548996,246.51367036927786,64.08802574896649,153.67573614113192,3,0.012119246178267424,0.03318484494218666,57.46225602536688,137.360122960197,3,0.010831248984606719,0.02949666489474181,66.2221616060506,156.15502546663177,3
bist100,close,cnn1d,13,5,5,235.92164988752793,438.73993069027404,57.32765901874281,138.58524787754303,2,214.03346492023837,366.4456268707257,57.8601897821181,133.97281997330984,2,0.0339480921265165,0.06402137417212307,66.28084429695984,159.29459281120214,3,0.03024298365426976,0.05331105378765142,65.79375483622701,153.96199173114292,2
bist100,close,cnn1d,28,5,5,707.6280325792097,640.3733021710079,59.25082297138281,78.50711437100635,1,652.3442605742655,575.9447338544119,62.751324311097946,81.11237510067922,1,0.1060485520712049,0.08953552531857101,78.87703837767783,94.29773215168119,1,0.09481986390265087,0.07910907596835597,80.7778943695858,95.92616576808301,1
bist100,close,cnn1d,23,5,5,-36.4285645074023,976.8545757957165,64.05600777634086,197.85358728132795,3,-25.362844959671428,867.5291784271125,72.36481370924052,205.13969613395025,3,0.0010653120025012814,0.0969281535906295,74.00399887143206,224.31212407830762,3,0.0010761374701877158,0.0846727008747728,80.85336384282597,228.92878151756884,3
bist100,close,cnn1d,18,5,5,144.45391904852585,603.1562093663296,70.41470957331008,132.6144433545417,2,122.67891194444606,542.0072802873462,69.12362211922746,132.44548351119914,2,0.02013621310493432,0.08319901807981077,77.8710158559839,143.64730213395035,2,0.017094501542963658,0.07441274488731799,75.65525145493314,142.0218776855729,2
bist100,close,cnn1d,15,5,5,-178.8622086396562,848.9748818120382,72.05191505202843,211.8786904870813,3,-161.06586153419588,753.4059062101591,76.53788107375152,222.08882465701066,3,-0.012048440820594275,0.10382922728246313,84.2696264739757,232.54678456791785,3,-0.012041277507012537,0.09172267718658732,87.6574424790016,241.3321532883875,3
bist100,close,cnn1d,17,5,5,166.65183660182637,590.7253457105919,78.9227211180732,170.82776779154628,3,162.67551970400132,544.0473812935345,88.15681738898074,184.907485660736,3,0.02769673722430314,0.08798853427218646,88.96372199109985,184.95899297998682,3,0.025933816690900457,0.07992673760790693,98.54977849319144,201.96714104717003,3
bist100,close,cnn1d,36,5,5,324.3252406011575,592.4990429154147,92.52661066701822,160.56893764586368,2,258.1886813067057,470.1037783088096,80.94574466978221,141.78189576761136,2,0.036413870237662675,0.0664119291109512,102.0243290355162,177.79438093224647,2,0.029002047580258223,0.052769344539698546,88.76603885000205,156.12682005715791,2
bist100,close,cnn1d,46,5,5,371.1697858835197,1207.297713251175,93.16308974373938,227.95986568777641,3,345.29658561974423,1076.0207851225396,104.71615448039188,242.14659962862686,2,0.028228161823856502,0.0937704766838206,105.0019089906913,253.98553099632377,3,0.026308835140257537,0.08394883596564838,116.6083874859676,268.1170755999512,2
bist100,close,cnn1d,12,5,5,321.2211252094519,348.90548932300646,107.42390945881736,137.4868562291417,1,278.13122553809154,305.56025635483263,115.68817566392117,149.75779249988238,1,0.057230747302859195,0.06635833600312208,118.92754202004065,134.7346974887617,1,0.0489984925155056,0.05691577779385614,127.49874903555278,149.68760265628345,1
