market,feature_set,model,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,linear_regression,5,5,-221.53661439983716,0.0,-9.747411075929266,0.0,5,364.62008420716734,0.0,32.075487744365425,0.0,0,0.06586157281329122,0.0,36.76059062469415,0.0,0,0.05977481629861829,0.0,48.654813863667165,0.0,0
bist100,close,dnfs,5,5,-9.870875943168722,33.4773686253606,-1.659882193191439,5.6806791579223885,2,-2.4015992367886954,18.385192219716536,-0.534156584027421,4.240201664464971,3,-0.0003824133069829011,0.0029949408393274207,-0.5462733309103504,4.39860921317737,1,1.4531899836038586e-05,0.0019838218264870314,0.0508381747664763,3.8095275130398063,1
bist100,close,lstm_gru,5,5,-3.514523782715537,15.984501431567786,-0.5277115542353749,2.7230179179223444,3,3.983847548438507,11.739109503785683,1.0055745460394383,2.7785850339832168,2,0.0010274981536666811,0.0014838349315725635,1.5685019998979814,2.1536970639402013,1,0.0008506335342159804,0.001225216471127485,1.6770682879952319,2.3373376686668093,1
bist100,close,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
bist100,close,mlp,5,5,55.10158253774025,51.97667629180659,8.35847395384368,7.719559185414839,0,44.15169997969798,38.85704169247233,9.650983564350792,8.50040085544536,1,0.007016686438480838,0.003748156108902043,9.067454099426111,5.020162582509678,0,0.005368716876655822,0.00387841624483649,9.771296462254798,7.319584488575797,1
bist100,close,cnn1d,5,5,88.4630555725349,159.3154793205741,8.646658743138739,15.968601655997784,2,58.295085925331435,81.49458243649774,8.774703708901177,12.545790700738507,1,0.00983849021430338,0.03127698542562168,9.246464470299747,25.370404163544848,3,0.00764754561059158,0.012238604460459384,9.830857471958685,16.31116537021511,1
bist100,indicators,dnfs,5,5,-18.270606768508536,16.82512746981679,-3.180052751817068,2.905128603121986,4,-6.811362568736922,8.434653793817027,-1.5696207987437247,1.977807411300103,4,-0.0012422179624611202,0.0018451344404138339,-1.7948809117135902,2.7131808813638734,4,-0.0005741638683144617,0.0011883268647786404,-1.0678133656823718,2.2649522167659315,4
bist100,indicators,lstm_gru,5,5,-15.467930729862156,33.02764338717853,-2.5064107600675776,5.675540336800462,3,-6.097431400816413,22.148986479041493,-1.2402589751826079,5.042824852087973,3,-0.001973609698948442,0.003377098371454533,-2.6881293553631225,4.6344059067077765,4,-0.000878904117152661,0.0026842109144478844,-1.4880008323321727,4.833693536430461,3
bist100,indicators,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
bist100,indicators,mlp,5,5,101.7672622076453,194.77932420370712,15.27293016308344,25.32001851436719,2,55.74272634973583,105.38308205779275,12.226714717801551,20.61125559459878,2,0.0055111019745913425,0.022081743445849556,9.534041986607141,27.077494332681397,2,0.004781669901374635,0.013742758985105494,9.880302826500957,24.01244427681813,3
