market,model,feature_set,seed,recursive_expanding_price_rmse,recursive_expanding_price_mae,recursive_expanding_rmse,recursive_expanding_mae,direct_expanding_price_rmse,direct_expanding_price_mae,direct_expanding_rmse,direct_expanding_mae,price_rmse_delta,price_rmse_delta_pct,price_rmse_candidate_wins,price_mae_delta,price_mae_delta_pct,price_mae_candidate_wins,rmse_delta,rmse_delta_pct,rmse_candidate_wins,mae_delta,mae_delta_pct,mae_candidate_wins
bist100,cnn1d,close,1,1666.540692234554,1115.300168751805,0.2335987689175168,0.1418099827632847,2272.779424055388,1813.9561859990952,0.2910834945248913,0.2343028271120274,606.2387318208341,36.37707345795252,False,698.6560172472903,62.64286842430908,False,0.0574847256073745,24.608317018859044,False,0.09249284434874272,65.22308412034417,False
bist100,cnn1d,close,7,1846.8583839296944,1180.8443928691504,0.2569030804534987,0.1577426968370873,2592.703302605064,1997.881013783062,0.3429442368010182,0.2624885720945272,745.8449186753696,40.38452136694864,False,817.0366209139115,69.19087949672361,False,0.08604115634751952,33.4916795063863,False,0.10474587525743989,66.40299510386765,False
bist100,cnn1d,close,42,1410.567680502283,1070.5948143105722,0.1687524618268345,0.1283870717778105,2454.546471990035,1958.218127377076,0.3114098988834288,0.251402832505411,1043.978791487752,74.0112513506623,False,887.6233130665037,82.90936040430046,False,0.14265743705659428,84.53650720839993,False,0.12301576072760051,95.81631469911106,False
bist100,cnn1d,close,123,1813.2052956087675,1242.500979590305,0.2246423024612199,0.1522277105561288,2765.1675469914176,2037.5274470836528,0.3897244054548671,0.2787355429492484,951.96225138265,52.501625364106225,False,795.0264674933478,63.98598315435496,False,0.16508210299364717,73.48665019231868,False,0.1265078323931196,83.10433884274582,False
bist100,cnn1d,close,2026,1556.0483572861433,1164.6410269711505,0.1960667920958748,0.1413187355904119,2600.1224218641023,2020.4903510235035,0.3211523598118745,0.2541139173021128,1044.074064577959,67.09779035395127,False,855.849324052353,73.48610466506891,False,0.1250855677159997,63.797426570244525,False,0.11279518171170091,79.81615547326888,False
bist100,cnn1d,indicators,1,1762.2256337262563,1337.5157191086928,0.1756160040894699,0.1463504915790414,2296.0407795390565,1644.9881930088306,0.2235416474849113,0.1830457474814817,533.8151458128002,30.292099694636658,False,307.47247390013786,22.98832600674289,False,0.04792564339544139,27.29002043061237,False,0.0366952559024403,25.073544684762346,False
bist100,cnn1d,indicators,7,1582.9111011371056,1059.742632310949,0.1616386070278238,0.1198379797630226,2604.76019370266,1783.9527594683236,0.2506795074646747,0.1988109000144838,1021.8490925655547,64.55505251251921,False,724.2101271573747,68.3383026290177,False,0.08904090043685092,55.08640669089892,False,0.07897292025146119,65.89974264221466,False
bist100,cnn1d,indicators,42,2174.5237164994405,1635.804001440556,0.2457386325318411,0.1881351638549807,2387.7405994698324,1784.4620976002518,0.2395505655819291,0.2022687292351059,213.2168829703919,9.805222235682466,False,148.6580961596958,9.08776944112995,False,-0.006188066949912002,-2.5181498269752907,True,0.014133565380125196,7.512452797510892,False
bist100,cnn1d,indicators,123,1733.942168399734,1212.460684714226,0.1612111138008951,0.1293449671252651,2666.0941652994115,1682.8160729391386,0.2621259123397172,0.187369642278078,932.1519968996774,53.75911687758112,False,470.35538822491253,38.79345484392132,False,0.10091479853882213,62.59791658251158,False,0.0580246751528129,44.86040426808293,False
bist100,cnn1d,indicators,2026,1682.0028091268755,1202.21464422914,0.1771656466616022,0.1383890668949529,2521.8992615092,1745.856478211072,0.2447566012783927,0.1992824818128463,839.8964523823247,49.934307352216216,False,543.641833981932,45.22003093137458,False,0.06759095461679049,38.151275876803346,False,0.06089341491789341,44.001608135789965,False
bist100,dnfs,close,1,840.3496720757772,668.4957318992755,0.09504166233512,0.0795472879816416,734.4039622975392,593.4155735965545,0.0937157427863521,0.0749783278874516,-105.94570977823798,-12.607336362319005,True,-75.08015830272097,-11.231209822298993,True,-0.001325919548767901,-1.3950929689052212,True,-0.00456896009419,-5.743703160872627,True
bist100,dnfs,close,7,827.9077291871538,663.1154922512391,0.0991739361258802,0.0800721595377004,769.9237035984747,626.8441184648307,0.0953042310900208,0.0775861312298042,-57.98402558867906,-7.003682118731785,True,-36.27137378640839,-5.469842615691145,True,-0.0038697050358594,-3.901937532203656,True,-0.002486028307896196,-3.1047349319031396,True
bist100,dnfs,close,42,790.051283956898,590.5825547681706,0.0918510200464082,0.0705657739272135,770.3794791388187,622.9513409687823,0.0971734910128016,0.0776518222770781,-19.671804818079295,-2.4899402377469597,True,32.368786200611794,5.480823288679422,False,0.005322470966393392,5.79467812519032,False,0.007086048349864607,10.041763811977255,False
bist100,dnfs,close,123,822.2397086570829,685.2423233284228,0.0955553835453754,0.0812563413290112,788.3868645774942,671.85419214328,0.1002260900056883,0.0836629276997602,-33.85284407958875,-4.117150232853466,True,-13.38813118514281,-1.9537805429344663,True,0.004670706460312896,4.887957420101784,False,0.002406586370749003,2.9617213024699307,False
bist100,dnfs,close,2026,824.8469362246151,655.4073025540221,0.0965096080543665,0.0781662624460195,797.7538180832938,649.8931012184836,0.0985891439241151,0.0805943115612437,-27.09311814132127,-3.2846237224724937,True,-5.514201335538473,-0.8413396240857363,True,0.0020795358697486,2.1547449126279123,False,0.0024280491152242067,3.1062622661547654,False
bist100,dnfs,indicators,1,836.0658906169359,654.0426164617496,0.1024318457852524,0.080880663290562,799.3995386966939,638.3235670520605,0.0967619435445039,0.0786492102698427,-36.66635192024205,-4.38558160687381,True,-15.719049409689092,-2.4033677644319664,True,-0.005669902240748495,-5.535292464255113,True,-0.0022314530207192956,-2.7589450060552174,True
bist100,dnfs,indicators,7,778.1774502498893,652.3101588223274,0.0980125596816183,0.0816953430516395,770.4287389760672,623.0800255483573,0.0957434484219676,0.078232453914229,-7.748711273822096,-0.9957511967654448,True,-29.23013327397007,-4.481017638410198,True,-0.002269111259650708,-2.315122946509749,True,-0.0034628891374104964,-4.23878400904885,True
bist100,dnfs,indicators,42,771.3638975700663,602.2469316943653,0.0922416471407486,0.0746605663860097,801.8246859533235,662.0929300481956,0.0962760954270602,0.0807067905504137,30.46078838325718,3.948951782578118,False,59.84599835383028,9.937119677049939,False,0.0040344482863115955,4.373781704218224,False,0.006046224164404007,8.098283280016721,False
bist100,dnfs,indicators,123,833.9534606121913,675.2469075632015,0.1008100029555083,0.0824182306911839,804.7036449620572,655.2006905555551,0.0973014025736893,0.0800989490328609,-29.24981565013411,-3.507367860631253,True,-20.04621700764642,-2.968724000527191,True,-0.0035086003818189937,-3.4804089663279614,True,-0.0023192816583229997,-2.8140396109851076,True
bist100,dnfs,indicators,2026,842.9852783030789,657.7940165709797,0.1008985377596715,0.0813930683828946,794.343718411118,647.7184369711846,0.0971306508386365,0.0802272986035951,-48.641559891960924,-5.7701553210841245,True,-10.075579599795105,-1.5317225979521956,True,-0.0037678869210349963,-3.73433253315292,True,-0.001165769779299497,-1.4322715711065301,True
bist100,linear_regression,close,1,4419.5797339642695,2488.8531656382715,0.3358437924262675,0.2672426972986728,1465.989406353497,1235.7820241291322,0.180573070084918,0.1553310136225119,-2953.5903276107724,-66.82966493199714,True,-1253.0711415091394,-50.347331004068565,True,-0.1552707223413495,-46.23301839811086,True,-0.11191168367616089,-41.876423493468714,True
