market,feature_set,model,horizon_step,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,cnn1d,20,5,5,878.419751588913,194.88345249408383,54.07445237872419,16.356714996102703,0,810.8383485546813,72.10275360697405,70.44303922895139,8.197157321635034,0,0.11527019794422703,0.04336221258325693,55.98411609924169,25.85041600275566,0,0.11191149888772074,0.01383445684023995,78.07257764786752,12.693379470852891,0
bist100,close,dnfs,20,5,5,-48.90950048118127,34.97490695122366,-5.900546534824742,4.118668709376818,5,-19.57701568183977,39.66652179477159,-2.8030698632661837,6.15097113706278,4,0.0013754177423655172,0.003928819012895971,1.5080699913622275,4.12047853278764,2,0.0009731390867503242,0.004588569939577866,1.4522618575652366,6.151054000699408,2
bist100,close,linear_regression,20,5,5,-2953.5903276107724,0.0,-66.82966493199714,0.0,5,-1253.0711415091394,0.0,-50.347331004068565,0.0,5,-0.1552707223413495,0.0,-46.23301839811086,0.0,5,-0.11191168367616089,0.0,-41.876423493468714,0.0,5
bist100,close,lstm_gru,20,5,5,18.995720180947295,56.07148880855571,2.7119137278317416,6.742949984920706,1,27.91141298086193,35.323453585930515,4.5024787984648444,5.475395314696928,1,0.00844441460687018,0.003530046740533955,8.733676118863212,3.831573862405079,0,0.0055077204470471985,0.002949606828144475,6.9835088817873485,3.8182703502358053,0
bist100,close,mlp,20,5,5,166.8249216985991,89.00511759791033,16.60083471485611,10.679124036215526,0,174.14380357619171,74.08361492120493,22.659316333204753,11.555600707573413,0,0.028478019781821982,0.008845484950175477,24.36668907940173,9.259637914003918,0,0.025221704487588082,0.008342476405308752,27.456560778878547,11.227996824870068,0
bist100,close,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-2.509628060920477e-10,0.0,-2.6893756229331975e-07,0.0,5,-2.0688628032949907e-09,0.0,-2.7727402429286567e-06,0.0,5
bist100,indicators,cnn1d,20,5,5,708.1859141261498,332.14927678485816,41.669159734527135,21.69672685677713,0,438.8675838848106,220.72364735138123,36.88557677043729,22.517930410815712,0,0.05985684600759859,0.04213539206623703,36.12149395077019,25.670050063697037,1,0.049743966320946596,0.024927803700879568,37.46955050567216,22.11705780924305,0
bist100,indicators,dnfs,20,5,5,-18.3691300705804,31.091606122128116,-2.141980840555303,3.823446703899214,4,-3.0449961874540805,35.847039055570434,-0.28954246485432256,5.8168368826296195,4,-0.0022362105033883195,0.003710710569248387,-2.138275041205504,3.8185929542273116,4,-0.0006266338862696563,0.003817805222236666,-0.6291513834357969,4.9787629732294185,4
bist100,indicators,lstm_gru,20,5,5,30.1702477175427,35.495170615391565,3.901790169099857,4.535684143363739,2,48.683784817252786,34.88249664852345,7.691871621296045,5.811381982133179,0,0.0028251415244837596,0.0036974148488049803,2.916883876569127,3.7419734393111233,1,0.0048976412469165205,0.003769876332949471,6.232283457141339,4.957122001172988,1
bist100,indicators,mlp,20,5,5,1039.2785378511558,307.4007053245481,91.76062526992322,37.618017491381394,0,842.7805393134324,184.88109943670642,99.98223038127294,30.72649566083464,0,0.0887247479138052,0.03387028654424844,69.83412909786446,38.72298734871591,0,0.08570803412628414,0.019749971665642695,85.66678488559664,32.454955747719275,0
bist100,indicators,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-2.509628060920477e-10,0.0,-2.6893756229331975e-07,0.0,5,-2.0688628032949907e-09,0.0,-2.7727402429286567e-06,0.0,5
sp500,close,cnn1d,20,5,5,0.7674663804636112,9.01216838172058,0.318917082180371,3.5790325753755003,2,6.9792352560417665,10.288855877396104,3.646874782538778,5.433566621549772,1,0.0001240682201173779,0.0015356675052108526,0.26581181531050807,3.1575260216858867,2,0.0012695514613218814,0.0018598234569058092,3.421734965043085,5.0534431244834686,1
sp500,close,dnfs,20,5,5,13.595561503164948,7.197985524620451,5.555831123167438,3.0192155860849894,0,14.51659257724848,6.705594985840168,7.581910424635689,3.5942847944090492,0,0.002731845706056761,0.0014100602198857243,5.784925359416929,3.0691404330821586,0,0.00297125327425716,0.0012907844044544848,8.029144260494206,3.598021918278959,0
sp500,close,linear_regression,20,5,5,8.447288915430192,0.0,3.602230444417078,0.0,0,3.850265046015238,0.0,2.088554757647127,0.0,0,0.0008696856190256036,0.0,1.907139826956568,0.0,0,0.0003632539495955975,0.0,1.0169255100556363,0.0,0
sp500,close,lstm_gru,20,5,5,0.8919925520991854,2.175954586166868,0.37039326094694813,0.8956147647057855,1,4.189099845716106,2.279338109384862,2.2686964805401484,1.2542355945443648,0,0.00011831165321171955,0.0002593384994477931,0.2524011119307943,0.5501020649847119,1,0.0008248594212848417,0.00037236982696783763,2.2998937020473598,1.0575986540796394,0
